# Physical_Baseline=686.06pF, Trigger_Distance=12.2cm, Atten_Ratio=1.49
Raw_Capacitance(pF),Normalized_Capacitance(pF)
686.049,686.046
686.052,686.050
686.055,686.054
686.049,686.046
686.052,686.050
686.055,686.054
686.057,686.058
686.059,686.061
686.061,686.064
686.055,686.055
686.058,686.058
686.060,686.062
686.062,686.064
686.063,686.067
686.065,686.069
686.066,686.072
686.068,686.074
686.069,686.075
686.070,686.077
686.071,686.078
686.072,686.080
686.073,686.081
686.073,686.082
686.074,686.083
686.067,686.072
686.060,686.062
686.062,686.065
686.064,686.067
686.065,686.070
686.067,686.072
686.068,686.074
686.069,686.076
686.062,686.065
686.064,686.068
686.046,686.041
686.049,686.046
686.052,686.050
686.047,686.042
686.050,686.047
686.053,686.051
686.055,686.055
686.058,686.059
686.060,686.062
686.062,686.065
686.064,686.067
686.065,686.070
686.059,686.060
686.053,686.051
686.047,686.043
686.050,686.048
686.053,686.052
686.048,686.044
686.043,686.036
686.046,686.042
686.042,686.035
686.037,686.028
686.041,686.034
686.045,686.040
686.040,686.033
686.041,686.034
686.037,686.028
686.033,686.022
686.038,686.029
686.042,686.035
686.043,686.037
686.044,686.038
686.039,686.031
686.041,686.034
686.042,686.035
686.043,686.037
686.044,686.039
686.045,686.040
686.046,686.042
686.047,686.043
686.048,686.044
686.049,686.045
686.049,686.046
686.050,686.047
686.050,686.047
686.051,686.048
686.051,686.049
686.043,686.037
686.044,686.039
686.045,686.040
686.066,686.071
686.067,686.073
686.060,686.063
686.062,686.065
686.064,686.068
686.057,686.058
686.060,686.061
686.062,686.064
686.063,686.067
686.065,686.069
686.066,686.072
686.068,686.074
686.075,686.084
686.081,686.093
686.086,686.101
686.083,686.097
686.081,686.093
686.078,686.089
686.076,686.086
686.082,686.095
686.087,686.103
686.092,686.110
686.091,686.108
686.090,686.107
686.089,686.105
686.080,686.092
686.080,686.092
686.080,686.092
686.080,686.092
686.080,686.092
686.078,686.088
686.076,686.085
686.076,686.086
686.076,686.086
686.077,686.087
686.077,686.087
686.077,686.088
686.078,686.088
686.070,686.077
686.071,686.078
686.072,686.080
686.081,686.093
686.081,686.093
686.081,686.093
686.078,686.089
686.076,686.086
686.074,686.083
686.072,686.080
686.070,686.077
686.069,686.075
686.070,686.077
686.071,686.078
686.072,686.080
686.073,686.081
686.073,686.082
686.074,686.083
686.067,686.072
686.068,686.074
686.069,686.075
686.070,686.077
686.071,686.079
686.072,686.080
686.073,686.081
686.073,686.082
686.074,686.083
686.075,686.084
686.075,686.085
686.076,686.086
686.076,686.086
686.077,686.087
686.077,686.087
686.077,686.088
686.078,686.088
686.078,686.089
686.076,686.085
686.074,686.082
686.072,686.080
686.078,686.089
686.076,686.086
686.074,686.083
686.072,686.080
686.070,686.078
686.077,686.087
686.075,686.084
686.075,686.085
686.076,686.086
686.076,686.086
686.077,686.087
686.069,686.075
686.062,686.065
686.064,686.068
686.057,686.058
686.051,686.049
686.046,686.041
686.049,686.046
686.052,686.051
686.055,686.055
686.057,686.058
686.060,686.061
686.054,686.052
686.056,686.056
686.050,686.048
686.051,686.048
686.051,686.049
686.060,686.061
686.059,686.061
686.059,686.060
686.058,686.059
686.058,686.059
686.066,686.070
686.073,686.081
686.063,686.066
686.062,686.065
686.061,686.064
686.069,686.075
686.067,686.073
686.058,686.059
686.058,686.059
686.060,686.062
686.062,686.065
686.056,686.056
686.058,686.059
686.060,686.062
686.062,686.065
686.064,686.068
686.065,686.070
686.059,686.060
686.061,686.063
686.063,686.066
686.064,686.068
686.066,686.071
686.065,686.069
686.064,686.068
686.063,686.066
686.062,686.065
686.061,686.064
686.061,686.063
686.060,686.062
686.060,686.061
686.059,686.061
686.059,686.060
686.058,686.060
686.058,686.059
686.058,686.059
686.060,686.062
686.054,686.053
686.056,686.056
686.050,686.048
686.053,686.052
686.056,686.056
686.058,686.059
686.060,686.062
686.054,686.053
686.049,686.045
686.052,686.049
686.054,686.054
686.057,686.057
686.059,686.061
686.061,686.064
686.063,686.066
686.057,686.057
686.059,686.060
686.053,686.051
686.055,686.055
686.058,686.059
686.052,686.050
686.055,686.054
686.049,686.046
686.052,686.050
686.055,686.054
686.057,686.058
686.059,686.061
686.061,686.064
686.063,686.067
686.057,686.057
686.051,686.049
686.054,686.053
686.056,686.056
686.059,686.060
686.053,686.051
686.055,686.055
686.058,686.058
686.060,686.062
686.062,686.064
686.063,686.067
686.063,686.066
686.062,686.065
686.061,686.064
686.061,686.063
