# Physical_Baseline=685.94pF, Trigger_Distance=11.0cm, Atten_Ratio=1.21
Raw_Capacitance(pF),Normalized_Capacitance(pF)
685.979,685.988
685.978,685.987
685.977,685.986
685.977,685.985
685.976,685.985
685.978,685.987
685.980,685.989
685.981,685.991
685.983,685.993
685.984,685.994
685.983,685.993
685.981,685.991
685.975,685.983
685.977,685.986
685.971,685.978
685.973,685.981
685.965,685.971
685.965,685.972
685.936,685.936
685.933,685.933
685.937,685.937
685.940,685.941
685.937,685.938
685.935,685.935
685.933,685.932
685.936,685.937
685.932,685.931
685.930,685.929
685.936,685.936
685.939,685.940
685.942,685.944
685.953,685.957
685.949,685.952
685.954,685.957
685.950,685.953
685.944,685.945
685.946,685.948
685.943,685.944
685.940,685.941
685.935,685.935
685.930,685.929
685.928,685.927
685.935,685.935
685.935,685.935
685.933,685.933
685.937,685.937
685.932,685.931
685.930,685.929
685.936,685.937
685.934,685.934
685.937,685.938
685.933,685.932
685.931,685.930
685.937,685.937
685.934,685.934
685.938,685.938
685.935,685.935
685.933,685.933
685.929,685.927
685.933,685.932
685.931,685.930
685.929,685.928
685.927,685.926
685.923,685.921
685.922,685.920
685.921,685.918
685.920,685.917
685.925,685.923
685.921,685.919
685.921,685.917
685.925,685.923
685.922,685.919
685.921,685.918
685.920,685.917
685.919,685.916
685.916,685.912
685.916,685.911
685.915,685.911
685.912,685.908
685.910,685.905
685.910,685.905
685.910,685.905
685.908,685.902
685.906,685.900
685.906,685.900
685.907,685.901
685.905,685.899
685.903,685.897
685.904,685.898
685.905,685.898
685.903,685.896
685.909,685.904
685.910,685.904
685.913,685.908
685.913,685.908
685.910,685.905
685.908,685.903
685.909,685.903
685.909,685.903
685.915,685.910
685.912,685.907
685.912,685.907
685.912,685.907
685.910,685.904
685.915,685.911
685.915,685.911
685.912,685.907
685.910,685.905
685.910,685.905
685.908,685.902
685.898,685.890
685.899,685.892
685.900,685.893
685.899,685.891
685.898,685.890
685.907,685.901
685.905,685.899
685.903,685.897
685.912,685.907
685.912,685.907
685.910,685.904
685.907,685.902
685.908,685.902
685.908,685.903
685.906,685.900
685.907,685.901
685.907,685.901
685.905,685.899
685.911,685.907
685.911,685.907
685.911,685.907
685.917,685.913
685.914,685.910
685.914,685.909
685.911,685.906
685.909,685.903
685.909,685.904
685.909,685.904
685.907,685.901
685.905,685.899
685.906,685.900
685.912,685.907
685.910,685.904
685.910,685.904
685.910,685.905
685.908,685.902
685.914,685.909
685.914,685.909
685.913,685.909
685.911,685.906
685.908,685.903
685.917,685.913
685.908,685.903
