# Physical_Baseline=690.91pF, Trigger_Distance=12.1cm, Atten_Ratio=1.46
Raw_Capacitance(pF),Normalized_Capacitance(pF)
691.058,691.126
691.065,691.137
691.068,691.141
691.079,691.157
691.081,691.160
691.083,691.163
691.085,691.165
691.094,691.179
691.103,691.191
691.102,691.191
691.102,691.190
691.105,691.195
691.100,691.187
691.095,691.180
691.091,691.174
691.095,691.180
691.091,691.174
691.087,691.168
691.088,691.170
691.081,691.160
691.078,691.155
691.075,691.151
691.073,691.148
691.067,691.140
691.062,691.132
691.053,691.119
691.053,691.118
691.049,691.113
691.038,691.096
691.039,691.098
691.032,691.088
691.030,691.085
691.029,691.083
691.023,691.074
691.014,691.061
691.001,691.043
690.997,691.038
690.991,691.028
690.989,691.024
690.986,691.021
690.989,691.025
690.979,691.010
690.974,691.003
690.973,691.002
690.961,690.984
690.953,690.973
690.951,690.969
690.949,690.966
690.942,690.957
690.941,690.955
690.932,690.942
690.924,690.929
690.916,690.918
690.905,690.902
690.899,690.893
690.897,690.891
690.892,690.883
690.891,690.881
690.887,690.875
690.875,690.857
690.867,690.846
690.857,690.832
690.848,690.818
690.843,690.811
690.843,690.811
690.843,690.811
690.839,690.805
690.834,690.799
690.827,690.788
690.813,690.767
690.803,690.753
690.794,690.740
690.783,690.723
690.781,690.720
690.779,690.717
690.777,690.715
690.771,690.705
690.765,690.697
690.752,690.677
690.752,690.679
690.745,690.668
690.738,690.658
690.732,690.650
690.727,690.642
690.722,690.634
690.713,690.621
690.705,690.609
690.697,690.597
690.690,690.587
690.684,690.578
690.686,690.582
690.689,690.585
690.683,690.576
690.677,690.568
690.680,690.573
690.675,690.565
690.670,690.558
690.666,690.552
690.662,690.546
690.658,690.541
690.647,690.525
690.642,690.517
690.637,690.510
690.636,690.508
690.631,690.502
690.628,690.496
690.624,690.491
690.621,690.486
690.610,690.470
690.608,690.467
690.610,690.470
690.611,690.472
690.609,690.469
690.603,690.459
690.597,690.451
690.588,690.438
690.588,690.438
690.589,690.439
690.581,690.427
690.577,690.422
690.573,690.416
690.570,690.412
690.564,690.403
690.558,690.395
690.553,690.387
690.552,690.386
690.548,690.379
690.544,690.373
690.540,690.368
690.537,690.363
690.529,690.352
690.519,690.337
690.518,690.335
690.517,690.333
690.511,690.325
690.502,690.312
690.503,690.313
690.503,690.313
690.498,690.307
690.499,690.308
690.500,690.309
690.492,690.298
690.497,690.304
690.490,690.294
690.483,690.284
690.485,690.288
690.490,690.295
690.492,690.297
690.485,690.288
690.487,690.290
690.484,690.286
690.478,690.277
690.473,690.269
690.468,690.262
690.467,690.260
690.470,690.266
690.474,690.271
690.472,690.268
690.475,690.273
690.478,690.277
690.476,690.274
690.471,690.266
690.466,690.259
690.465,690.258
690.461,690.252
690.465,690.258
690.464,690.257
690.460,690.251
690.464,690.257
690.468,690.263
690.464,690.256
690.468,690.262
690.467,690.260
690.470,690.266
690.466,690.259
690.465,690.257
690.469,690.263
690.464,690.257
690.468,690.262
690.472,690.268
690.467,690.261
690.463,690.254
690.462,690.253
690.458,690.248
690.463,690.254
690.467,690.260
690.462,690.254
690.467,690.260
690.465,690.259
690.461,690.252
690.466,690.259
690.461,690.252
690.466,690.259
690.465,690.257
690.469,690.263
690.464,690.256
690.463,690.255
690.459,690.249
690.456,690.244
690.452,690.239
690.449,690.235
690.442,690.224
690.440,690.221
690.446,690.230
690.444,690.227
690.442,690.224
690.440,690.221
690.438,690.218
690.436,690.216
690.435,690.214
690.434,690.212
690.428,690.203
690.427,690.202
690.418,690.190
690.419,690.190
690.411,690.179
690.412,690.180
690.405,690.170
690.406,690.172
690.400,690.162
690.397,690.158
690.391,690.150
690.381,690.135
690.377,690.129
690.373,690.123
690.370,690.118
690.366,690.114
690.367,690.114
690.372,690.122
690.369,690.117
690.366,690.112
690.366,690.113
690.363,690.109
690.361,690.105
690.358,690.102
690.356,690.099
690.349,690.089
690.348,690.087
690.350,690.090
690.349,690.088
690.348,690.086
690.342,690.078
690.333,690.065
690.334,690.066
690.326,690.054
690.319,690.044
690.320,690.046
690.322,690.049
690.323,690.051
690.320,690.045
690.321,690.048
690.323,690.050
690.319,690.044
690.313,690.035
690.310,690.031
690.305,690.023
690.300,690.016
690.295,690.009
690.283,689.991
690.283,689.992
690.272,689.975
690.270,689.973
690.268,689.970
690.259,689.956
690.250,689.943
690.242,689.932
690.235,689.921
690.232,689.916
690.234,689.919
690.227,689.910
690.230,689.913
690.219,689.897
690.217,689.895
690.212,689.888
690.208,689.881
690.204,689.876
690.200,689.871
690.197,689.866
690.198,689.866
690.190,689.855
690.183,689.845
690.184,689.847
690.183,689.845
690.181,689.842
690.180,689.840
690.174,689.831
690.173,689.831
690.164,689.818
690.165,689.818
690.157,689.807
690.150,689.796
690.143,689.787
690.138,689.778
690.135,689.775
690.130,689.768
690.126,689.761
690.122,689.755
690.118,689.750
690.115,689.745
690.103,689.729
690.101,689.726
690.100,689.723
690.093,689.713
690.084,689.700
690.076,689.688
690.068,689.677
690.070,689.679
690.063,689.669
690.057,689.660
690.051,689.652
690.046,689.644
690.044,689.642
690.040,689.636
690.036,689.630
690.024,689.613
690.022,689.609
690.014,689.598
690.013,689.596
690.011,689.594
690.010,689.592
690.009,689.590
690.008,689.588
690.007,689.587
690.006,689.586
689.997,689.573
689.997,689.573
689.989,689.561
689.990,689.562
689.986,689.556
689.979,689.546
689.973,689.537
689.967,689.529
689.962,689.521
689.957,689.514
689.953,689.508
689.949,689.503
689.938,689.486
689.935,689.482
689.928,689.472
689.927,689.470
689.917,689.456
689.909,689.444
689.901,689.432
689.894,689.422
689.888,689.413
689.882,689.405
689.877,689.397
689.872,689.390
689.868,689.384
689.856,689.367
689.846,689.351
689.836,689.337
689.835,689.336
689.826,689.323
689.819,689.311
689.811,689.301
689.805,689.291
689.799,689.283
689.794,689.275
689.789,689.268
689.785,689.262
689.781,689.256
689.777,689.251
689.766,689.234
689.756,689.219
689.747,689.206
689.746,689.206
689.746,689.205
689.746,689.205
689.745,689.204
689.737,689.192
689.730,689.181
689.731,689.183
689.724,689.173
689.718,689.164
689.563,688.937
689.556,688.927
689.549,688.917
689.544,688.909
689.530,688.890
689.527,688.884
689.523,688.879
689.520,688.874
689.517,688.870
689.506,688.854
689.505,688.852
689.495,688.838
689.486,688.825
689.479,688.814
689.472,688.804
689.462,688.790
689.457,688.782
689.452,688.775
689.447,688.768
689.435,688.750
689.424,688.734
689.414,688.720
689.405,688.706
689.397,688.695
689.390,688.684
689.247,688.474
689.238,688.461
689.221,688.437
689.206,688.415
689.190,688.391
689.170,688.362
689.152,688.336
689.133,688.308
689.116,688.282
689.103,688.264
689.088,688.242
689.070,688.216
689.051,688.187
689.028,688.154
689.004,688.119
688.978,688.081
688.954,688.046
688.938,688.022
688.918,687.993
688.900,687.966
688.880,687.938
688.855,687.900
688.835,687.871
688.816,687.844
688.808,687.832
688.543,687.444
688.544,687.446
688.538,687.436
688.531,687.427
688.531,687.427
688.523,687.414
688.518,687.407
688.514,687.401
688.510,687.395
688.512,687.398
688.500,687.381
688.497,687.377
688.492,687.370
688.496,687.375
688.494,687.372
688.492,687.369
688.487,687.362
688.486,687.360
688.477,687.347
688.473,687.342
688.463,687.326
688.464,687.328
688.465,687.329
688.463,687.326
688.464,687.328
688.335,687.139
688.332,687.135
688.334,687.138
688.331,687.134
688.334,687.138
688.331,687.134
688.334,687.138
688.328,687.129
688.326,687.126
688.321,687.119
688.317,687.112
688.307,687.099
688.304,687.094
688.296,687.083
688.294,687.080
688.287,687.069
688.289,687.072
688.287,687.070
688.289,687.072
688.288,687.070
688.286,687.068
688.280,687.059
688.271,687.046
688.272,687.047
688.275,687.051
688.274,687.050
688.266,687.039
688.262,687.032
688.258,687.026
688.251,687.017
688.248,687.012
688.246,687.008
688.240,687.001
688.246,687.010
688.252,687.018
688.254,687.021
688.248,687.012
688.245,687.008
688.240,687.000
688.243,687.005
688.241,687.002
688.236,686.995
688.232,686.988
688.231,686.986
688.227,686.981
688.223,686.976
688.220,686.971
688.220,686.971
688.217,686.967
688.215,686.963
688.215,686.964
688.215,686.964
688.213,686.961
688.211,686.958
688.212,686.959
688.210,686.956
688.208,686.953
688.201,686.943
688.203,686.945
688.201,686.944
688.200,686.942
688.191,686.929
688.194,686.933
688.194,686.932
688.193,686.932
688.193,686.931
688.187,686.923
688.190,686.928
688.190,686.928
688.190,686.928
688.190,686.927
688.185,686.920
688.185,686.920
688.186,686.921
688.186,686.922
688.187,686.922
688.182,686.915
688.185,686.920
688.178,686.909
688.171,686.899
688.173,686.902
688.169,686.896
688.174,686.903
688.170,686.898
688.172,686.901
688.174,686.903
688.167,686.894
688.169,686.897
688.166,686.892
688.168,686.895
688.162,686.887
688.157,686.879
688.152,686.872
688.148,686.865
688.152,686.871
688.147,686.865
688.146,686.863
688.150,686.869
688.146,686.863
688.142,686.857
688.139,686.852
688.144,686.859
688.143,686.858
688.142,686.857
688.141,686.856
688.138,686.851
688.135,686.846
688.132,686.842
688.130,686.839
688.127,686.835
688.128,686.836
688.129,686.837
688.129,686.838
688.127,686.835
688.125,686.832
688.123,686.829
688.122,686.827
688.120,686.825
688.119,686.823
688.125,686.832
688.123,686.830
688.125,686.831
688.126,686.833
688.126,686.834
688.124,686.831
688.123,686.828
688.121,686.826
688.120,686.824
688.118,686.822
688.117,686.820
688.119,686.823
688.120,686.825
688.122,686.827
688.123,686.829
688.124,686.831
688.117,686.820
688.119,686.823
688.120,686.825
688.119,686.823
688.126,686.833
688.124,686.830
688.122,686.828
688.120,686.825
688.119,686.823
688.118,686.821
688.111,686.812
688.106,686.803
688.108,686.808
688.100,686.795
688.101,686.796
688.101,686.797
688.102,686.797
688.094,686.786
688.087,686.776
688.089,686.779
688.090,686.781
688.092,686.783
688.085,686.773
688.079,686.765
688.081,686.768
688.084,686.771
688.078,686.763
688.083,686.771
688.085,686.774
688.087,686.777
688.089,686.779
688.091,686.781
688.084,686.772
688.081,686.767
688.078,686.763
688.075,686.759
688.073,686.756
688.071,686.752
688.069,686.750
688.067,686.747
688.065,686.745
688.064,686.743
688.063,686.741
688.062,686.739
688.060,686.737
688.059,686.736
688.059,686.735
688.055,686.729
688.052,686.725
688.049,686.720
688.046,686.717
688.044,686.713
688.042,686.710
688.040,686.707
688.038,686.704
688.044,686.714
688.042,686.711
688.035,686.700
688.036,686.702
688.035,686.700
688.034,686.698
688.032,686.696
688.031,686.695
688.030,686.693
688.029,686.692
688.029,686.691
688.036,686.702
688.035,686.699
688.036,686.702
688.029,686.692
688.023,686.683
688.026,686.687
688.025,686.686
688.033,686.697
