# Physical_Baseline=685.83pF, Trigger_Distance=100.0cm, Atten_Ratio=100.00
Raw_Capacitance(pF),Normalized_Capacitance(pF)
685.828,685.831
685.833,685.845
685.833,685.843
685.832,685.842
685.829,685.835
685.829,685.834
685.827,685.828
685.827,685.828
685.824,685.823
685.825,685.823
685.823,685.818
685.821,685.813
685.821,685.815
685.819,685.810
685.820,685.812
685.818,685.808
685.819,685.810
685.818,685.806
685.819,685.808
685.819,685.810
685.818,685.806
685.819,685.809
685.817,685.805
685.818,685.807
685.817,685.804
685.815,685.800
685.824,685.823
685.830,685.837
685.828,685.830
685.828,685.830
685.825,685.825
685.833,685.845
685.830,685.837
685.830,685.837
685.830,685.836
685.827,685.830
685.827,685.830
685.825,685.824
685.825,685.824
685.825,685.825
685.831,685.839
685.831,685.838
685.836,685.851
685.835,685.849
685.832,685.841
685.829,685.834
685.829,685.834
685.826,685.828
685.835,685.847
685.840,685.860
685.844,685.870
685.842,685.866
685.839,685.857
685.837,685.854
685.842,685.866
685.846,685.876
685.819,685.809
685.817,685.805
685.818,685.808
685.817,685.804
685.810,685.787
685.811,685.791
685.811,685.789
685.812,685.793
685.819,685.810
685.820,685.812
685.818,685.808
685.819,685.810
685.818,685.806
685.824,685.822
685.824,685.823
685.822,685.817
685.815,685.799
685.822,685.816
685.822,685.817
685.820,685.812
685.826,685.828
685.824,685.822
685.830,685.836
685.830,685.836
685.827,685.830
685.818,685.807
685.819,685.809
685.825,685.825
685.826,685.825
685.823,685.820
685.829,685.835
685.829,685.834
685.835,685.847
685.834,685.846
685.831,685.838
685.831,685.838
685.828,685.831
685.828,685.831
685.825,685.825
685.823,685.820
685.824,685.821
685.830,685.835
685.829,685.835
685.827,685.828
685.827,685.829
685.825,685.823
685.825,685.824
685.825,685.824
685.823,685.819
685.823,685.820
685.821,685.815
685.822,685.816
685.820,685.812
685.818,685.808
685.819,685.810
685.818,685.806
685.824,685.822
685.832,685.842
685.838,685.855
685.837,685.852
685.841,685.864
685.840,685.861
685.844,685.871
685.848,685.881
685.846,685.876
685.842,685.866
685.841,685.862
685.845,685.873
685.849,685.883
685.847,685.877
685.843,685.867
685.841,685.864
685.846,685.874
685.841,685.864
685.838,685.855
685.834,685.847
685.826,685.826
685.823,685.820
685.824,685.821
685.822,685.816
685.822,685.817
685.820,685.813
685.821,685.815
685.819,685.810
685.826,685.826
685.826,685.826
685.824,685.821
685.824,685.822
685.822,685.817
685.822,685.818
685.820,685.813
685.813,685.795
685.812,685.793
685.819,685.810
685.820,685.812
685.826,685.827
685.826,685.828
685.824,685.822
685.824,685.823
685.822,685.817
685.828,685.832
685.828,685.832
685.834,685.846
685.833,685.844
685.833,685.843
685.838,685.855
685.837,685.853
685.833,685.845
685.841,685.863
685.840,685.860
685.836,685.851
685.835,685.849
685.832,685.842
685.832,685.840
685.831,685.839
685.828,685.833
685.828,685.832
685.826,685.826
685.826,685.827
685.832,685.841
685.829,685.834
685.829,685.833
685.826,685.827
685.826,685.828
685.824,685.822
685.824,685.823
685.825,685.823
685.831,685.838
685.830,685.837
685.836,685.850
685.835,685.848
685.834,685.846
685.831,685.839
685.831,685.838
685.836,685.851
685.835,685.849
685.834,685.847
685.831,685.840
685.831,685.839
685.828,685.832
685.828,685.832
685.826,685.826
685.818,685.807
685.824,685.823
685.822,685.817
685.815,685.799
685.814,685.796
685.815,685.799
685.814,685.796
685.815,685.800
685.814,685.797
685.807,685.780
685.807,685.779
685.808,685.784
685.808,685.782
685.810,685.787
685.809,685.785
685.811,685.789
685.802,685.768
685.804,685.774
685.812,685.793
685.811,685.791
685.810,685.789
685.810,685.787
685.811,685.791
685.810,685.789
685.812,685.793
685.803,685.771
685.805,685.776
685.805,685.776
685.799,685.761
685.799,685.762
685.802,685.768
685.802,685.768
685.805,685.774
685.804,685.774
685.798,685.759
685.799,685.760
685.802,685.767
685.802,685.767
685.804,685.773
685.812,685.792
685.811,685.790
685.812,685.794
685.812,685.791
685.813,685.795
685.812,685.793
685.813,685.796
685.812,685.793
685.814,685.797
685.813,685.794
685.812,685.792
685.813,685.795
685.812,685.793
685.806,685.777
685.805,685.776
685.807,685.781
685.807,685.780
685.809,685.785
685.808,685.783
685.802,685.768
685.802,685.768
685.796,685.754
685.797,685.756
685.800,685.763
685.800,685.763
685.803,685.770
685.811,685.789
685.812,685.793
685.803,685.771
685.798,685.757
685.798,685.758
685.801,685.765
685.801,685.765
685.801,685.766
685.801,685.766
685.801,685.766
685.804,685.772
685.804,685.772
685.798,685.758
685.798,685.759
685.793,685.746
685.794,685.748
685.797,685.756
685.798,685.757
685.798,685.758
685.801,685.765
685.801,685.765
685.801,685.766
685.801,685.766
685.804,685.772
685.804,685.772
685.806,685.777
685.813,685.796
685.807,685.780
685.806,685.779
685.808,685.784
685.808,685.782
685.807,685.781
685.801,685.766
685.801,685.766
685.804,685.772
685.804,685.772
685.806,685.778
685.805,685.777
685.808,685.782
685.807,685.780
685.809,685.785
685.808,685.784
685.808,685.782
685.810,685.787
685.809,685.785
685.811,685.789
685.810,685.787
685.812,685.791
685.811,685.789
685.812,685.793
685.811,685.791
685.813,685.794
685.812,685.792
685.813,685.796
685.812,685.793
685.814,685.797
685.813,685.794
685.812,685.791
685.813,685.795
685.812,685.793
685.814,685.796
685.820,685.813
685.821,685.815
685.819,685.810
685.820,685.812
685.818,685.808
685.819,685.810
685.818,685.806
685.811,685.789
685.810,685.787
685.803,685.772
685.803,685.771
685.798,685.757
685.798,685.758
685.798,685.759
685.801,685.766
685.801,685.766
685.804,685.772
685.804,685.772
685.798,685.758
685.798,685.759
685.801,685.766
685.801,685.766
685.804,685.772
685.804,685.772
685.798,685.758
685.798,685.759
685.801,685.766
685.801,685.766
685.804,685.772
685.803,685.772
685.798,685.758
685.806,685.778
685.806,685.777
685.805,685.776
685.805,685.776
685.805,685.775
685.805,685.775
685.807,685.780
685.806,685.779
685.808,685.784
685.808,685.782
685.802,685.767
685.802,685.767
685.796,685.754
685.797,685.755
685.797,685.757
685.792,685.744
685.793,685.746
685.796,685.754
685.797,685.756
685.800,685.763
685.792,685.744
685.795,685.752
685.796,685.754
685.791,685.741
685.784,685.724
685.788,685.734
685.789,685.738
685.793,685.746
685.794,685.749
685.797,685.756
685.798,685.757
685.792,685.745
685.793,685.747
685.794,685.749
685.797,685.757
685.798,685.758
685.798,685.759
685.799,685.760
685.791,685.741
685.792,685.744
685.795,685.752
685.796,685.754
685.789,685.736
685.790,685.739
685.791,685.742
685.787,685.731
685.788,685.734
685.784,685.724
685.794,685.748
685.794,685.750
685.798,685.757
685.798,685.758
685.793,685.746
685.794,685.748
685.797,685.756
685.797,685.757
685.798,685.758
685.793,685.745
685.794,685.748
685.797,685.755
685.797,685.757
685.800,685.764
685.800,685.764
685.803,685.770
685.811,685.790
685.804,685.774
685.804,685.774
685.806,685.779
685.806,685.778
685.806,685.777
685.808,685.782
685.807,685.781
685.809,685.785
685.808,685.784
685.810,685.788
685.809,685.786
685.803,685.771
685.811,685.790
685.813,685.794
685.812,685.791
685.811,685.789
685.804,685.774
685.812,685.793
685.814,685.796
685.812,685.794
685.806,685.778
685.805,685.777
685.800,685.762
685.800,685.763
685.794,685.750
685.795,685.751
685.798,685.759
685.799,685.760
685.801,685.766
685.801,685.767
685.804,685.773
685.804,685.772
685.806,685.778
685.806,685.777
685.808,685.782
685.807,685.781
685.809,685.785
685.808,685.784
685.802,685.769
685.802,685.769
685.805,685.774
685.804,685.774
685.798,685.760
685.791,685.741
685.786,685.730
685.788,685.734
685.784,685.723
685.777,685.708
685.782,685.720
685.784,685.724
685.780,685.715
685.782,685.720
685.786,685.730
685.788,685.734
685.792,685.743
685.793,685.745
685.796,685.753
685.797,685.755
685.799,685.762
685.800,685.763
685.802,685.769
685.796,685.753
685.796,685.754
685.799,685.761
685.800,685.762
685.802,685.769
685.810,685.788
685.812,685.792
685.811,685.790
685.804,685.774
685.804,685.774
685.804,685.773
685.798,685.759
685.799,685.760
685.801,685.767
685.801,685.767
685.796,685.753
685.797,685.755
685.799,685.762
685.800,685.763
685.800,685.763
685.803,685.770
685.803,685.770
685.805,685.775
685.805,685.775
685.799,685.760
685.801,685.765
685.801,685.766
685.801,685.766
685.796,685.753
685.788,685.735
685.792,685.744
685.793,685.746
685.796,685.754
685.797,685.755
685.805,685.776
685.799,685.762
685.808,685.782
685.802,685.767
685.810,685.787
685.803,685.771
685.795,685.751
685.798,685.759
685.799,685.760
685.801,685.766
685.801,685.767
685.796,685.753
685.804,685.774
685.807,685.779
685.806,685.778
685.806,685.778
685.808,685.783
685.816,685.801
685.817,685.804
685.815,685.801
685.817,685.804
685.815,685.800
685.814,685.797
685.815,685.800
685.814,685.797
685.815,685.801
685.814,685.798
685.815,685.801
685.814,685.798
685.815,685.801
685.814,685.798
685.813,685.795
685.812,685.792
685.811,685.790
685.813,685.794
685.812,685.791
685.805,685.776
685.805,685.775
685.807,685.780
685.807,685.779
685.806,685.778
685.806,685.777
685.800,685.763
685.800,685.763
685.803,685.770
685.795,685.750
685.798,685.758
685.798,685.759
685.798,685.760
685.799,685.760
685.794,685.748
685.794,685.750
685.795,685.751
685.796,685.753
685.791,685.741
685.792,685.744
685.787,685.732
685.783,685.722
685.787,685.732
685.781,685.716
685.777,685.707
685.782,685.719
685.784,685.724
685.780,685.714
685.782,685.719
685.786,685.730
685.780,685.714
685.776,685.706
