# Physical_Baseline=685.36pF, Trigger_Distance=12.3cm, Atten_Ratio=1.51
Raw_Capacitance(pF),Normalized_Capacitance(pF)
685.351,685.345
685.348,685.341
685.351,685.346
685.357,685.354
685.359,685.357
685.361,685.361
685.363,685.364
685.365,685.366
685.366,685.369
685.362,685.362
685.364,685.365
685.358,685.356
685.354,685.350
685.357,685.354
685.359,685.358
685.356,685.353
685.358,685.356
685.352,685.348
685.357,685.355
685.360,685.359
685.362,685.362
685.364,685.365
685.365,685.367
685.359,685.358
685.363,685.364
685.365,685.367
685.361,685.361
685.363,685.364
685.357,685.354
685.353,685.349
685.356,685.353
685.358,685.357
685.361,685.360
685.363,685.363
685.364,685.366
685.368,685.372
685.370,685.374
685.371,685.375
685.372,685.377
685.373,685.378
685.374,685.380
685.369,685.372
685.370,685.374
685.371,685.376
685.366,685.369
685.360,685.359
685.362,685.362
685.358,685.356
685.360,685.360
685.362,685.363
685.366,685.369
685.360,685.359
685.362,685.362
685.358,685.356
685.352,685.348
685.355,685.352
685.358,685.356
685.354,685.350
685.357,685.354
685.359,685.358
685.353,685.349
685.356,685.353
685.353,685.348
685.356,685.352
685.358,685.356
685.360,685.360
685.365,685.366
685.366,685.369
685.368,685.371
685.371,685.376
685.364,685.366
685.358,685.356
685.360,685.359
685.357,685.354
685.359,685.357
685.353,685.349
685.358,685.356
685.360,685.360
685.362,685.363
685.366,685.369
685.368,685.371
685.361,685.361
685.363,685.364
685.365,685.366
685.366,685.369
685.368,685.371
685.369,685.373
685.370,685.375
685.371,685.376
685.372,685.378
685.376,685.383
685.376,685.383
685.377,685.384
685.371,685.376
685.361,685.360
685.357,685.354
685.359,685.358
685.353,685.349
685.350,685.345
685.353,685.349
685.348,685.341
685.351,685.346
685.354,685.350
685.349,685.342
685.354,685.350
685.357,685.354
685.359,685.358
685.361,685.361
685.363,685.364
685.359,685.358
685.353,685.349
685.356,685.353
685.359,685.357
685.355,685.352
685.358,685.355
685.360,685.359
685.362,685.362
685.364,685.365
685.360,685.359
685.327,685.309
685.332,685.317
685.331,685.315
685.338,685.326
685.342,685.332
685.340,685.329
685.344,685.335
685.348,685.341
685.345,685.337
685.341,685.330
685.345,685.336
685.342,685.333
685.338,685.326
685.334,685.320
685.341,685.331
685.345,685.336
685.340,685.330
685.339,685.327
685.335,685.321
685.331,685.316
685.338,685.326
685.342,685.333
685.346,685.338
685.341,685.331
685.345,685.337
690.745,693.506
691.432,694.545
691.605,694.807
691.676,694.914
691.711,694.968
691.733,695.001
691.711,694.967
691.727,694.992
693.284,697.347
693.442,697.586
693.538,697.731
693.520,697.705
693.564,697.770
693.624,697.861
693.695,697.969
693.749,698.051
694.444,699.103
695.000,699.943
695.130,700.141
695.174,700.207
695.219,700.275
695.210,700.261
695.204,700.252
695.172,700.203
695.147,700.167
695.082,700.068
694.499,699.185
694.368,698.987
694.224,698.769
694.107,698.592
693.605,697.833
693.580,697.795
693.529,697.719
693.482,697.647
693.453,697.603
693.402,697.526
693.339,697.430
692.840,696.675
692.667,696.414
692.159,695.646
692.096,695.550
691.972,695.362
691.878,695.220
691.793,695.091
691.750,695.027
691.692,694.939
691.624,694.835
691.021,693.923
690.908,693.752
690.812,693.608
690.720,693.468
690.657,693.373
690.590,693.271
690.522,693.168
690.458,693.071
690.396,692.978
689.834,692.127
689.831,692.123
689.801,692.078
689.765,692.023
689.706,691.935
689.636,691.829
689.586,691.752
689.547,691.693
689.512,691.641
689.473,691.582
689.424,691.508
689.383,691.445
689.329,691.364
688.817,690.589
688.799,690.562
688.765,690.510
688.733,690.462
688.696,690.406
688.686,690.392
688.666,690.361
688.650,690.337
688.634,690.312
688.620,690.292
688.603,690.265
688.598,690.257
688.580,690.231
688.556,690.195
688.530,690.155
688.503,690.115
688.480,690.079
688.454,690.040
688.427,690.000
688.396,689.952
688.367,689.909
688.342,689.870
688.310,689.823
688.274,689.768
688.234,689.707
688.189,689.639
688.148,689.578
688.104,689.510
688.064,689.449
688.022,689.386
687.990,689.337
687.952,689.281
687.919,689.230
687.880,689.172
687.853,689.131
687.821,689.082
687.800,689.050
687.781,689.021
687.755,688.983
687.732,688.948
687.720,688.929
687.700,688.900
687.683,688.873
687.667,688.849
687.644,688.815
687.624,688.784
687.605,688.756
687.589,688.731
687.573,688.708
687.560,688.687
687.547,688.669
687.536,688.652
687.526,688.636
687.520,688.627
687.503,688.602
687.496,688.591
687.490,688.581
687.476,688.561
687.472,688.554
687.460,688.536
687.449,688.519
687.439,688.505
687.422,688.479
687.407,688.456
687.401,688.447
687.388,688.427
687.376,688.409
687.365,688.392
687.347,688.365
687.339,688.353
687.331,688.342
687.317,688.320
687.312,688.312
687.299,688.292
687.287,688.275
687.277,688.259
687.267,688.244
687.258,688.231
687.243,688.207
687.236,688.198
687.231,688.189
687.218,688.169
687.206,688.151
687.203,688.147
687.200,688.144
687.190,688.128
687.181,688.114
687.181,688.113
687.172,688.101
687.165,688.089
687.158,688.079
687.152,688.070
687.154,688.073
687.148,688.064
687.143,688.056
687.138,688.049
687.142,688.055
687.145,688.060
687.148,688.064
687.151,688.068
687.153,688.072
687.150,688.067
687.153,688.071
687.155,688.075
687.157,688.078
687.159,688.081
687.161,688.083
687.162,688.086
687.164,688.088
687.165,688.090
687.166,688.092
687.167,688.093
687.168,688.094
687.169,688.096
687.170,688.097
687.170,688.098
687.163,688.087
687.156,688.077
687.158,688.080
687.152,688.070
687.154,688.074
687.148,688.065
687.143,688.057
687.138,688.050
687.134,688.043
687.130,688.037
687.126,688.032
687.123,688.027
687.120,688.022
687.118,688.018
687.123,688.027
687.128,688.034
687.125,688.029
687.130,688.037
687.126,688.031
687.131,688.039
687.128,688.033
687.132,688.040
687.136,688.047
687.140,688.053
