# Physical_Baseline=687.15pF, Trigger_Distance=40.0cm, Atten_Ratio=16.00
Raw_Capacitance(pF),Normalized_Capacitance(pF)
687.156,687.160
687.158,687.163
687.152,687.154
687.154,687.157
687.156,687.160
687.158,687.163
687.160,687.166
687.154,687.157
687.156,687.160
687.158,687.163
687.160,687.165
687.161,687.167
687.163,687.169
687.164,687.171
687.165,687.173
687.166,687.174
687.167,687.176
687.168,687.177
687.169,687.178
687.170,687.179
687.170,687.180
687.163,687.170
687.164,687.172
687.157,687.162
687.159,687.165
687.153,687.156
687.147,687.148
687.150,687.152
687.145,687.144
687.148,687.148
687.150,687.152
687.153,687.156
687.147,687.148
687.150,687.152
687.153,687.155
687.147,687.147
687.142,687.140
687.137,687.134
687.141,687.139
687.144,687.144
687.139,687.137
687.143,687.142
687.138,687.135
687.142,687.140
687.137,687.134
687.133,687.128
687.129,687.123
687.134,687.129
687.138,687.135
687.133,687.129
687.129,687.123
687.126,687.118
687.131,687.125
687.135,687.131
687.131,687.125
687.135,687.131
687.139,687.137
687.143,687.142
687.146,687.146
687.149,687.150
687.144,687.143
687.147,687.147
687.142,687.140
687.145,687.145
687.140,687.138
687.143,687.143
687.147,687.147
687.150,687.151
687.152,687.155
687.146,687.147
687.149,687.151
687.144,687.143
687.139,687.137
687.143,687.142
687.138,687.135
687.142,687.140
687.137,687.134
687.133,687.128
687.137,687.134
687.141,687.139
687.144,687.144
687.139,687.137
687.135,687.131
687.128,687.121
687.133,687.128
687.137,687.134
687.141,687.139
687.136,687.133
687.132,687.127
687.128,687.122
687.133,687.128
687.129,687.123
687.134,687.129
687.138,687.135
687.133,687.129
687.138,687.134
687.141,687.140
687.145,687.144
687.140,687.137
687.143,687.142
687.138,687.136
687.142,687.141
687.145,687.145
687.148,687.150
687.151,687.153
687.154,687.157
687.156,687.160
687.150,687.151
687.144,687.144
687.139,687.137
687.143,687.142
687.146,687.146
687.149,687.150
687.144,687.143
687.139,687.136
687.134,687.130
687.130,687.125
687.135,687.131
687.131,687.125
687.135,687.131
687.131,687.126
687.128,687.120
687.124,687.116
687.129,687.123
687.134,687.129
687.138,687.135
687.133,687.129
687.138,687.135
687.141,687.140
687.145,687.144
687.140,687.138
687.143,687.142
687.146,687.147
687.149,687.151
687.152,687.155
687.154,687.158
687.156,687.161
687.150,687.152
687.153,687.156
687.155,687.159
687.149,687.151
687.152,687.154
687.154,687.158
687.148,687.149
687.151,687.153
687.153,687.157
687.156,687.160
687.150,687.151
687.144,687.144
687.147,687.148
687.150,687.152
687.153,687.156
687.147,687.148
687.142,687.140
687.137,687.134
687.141,687.139
687.144,687.144
687.147,687.148
687.142,687.141
687.137,687.134
687.141,687.139
687.137,687.133
687.140,687.138
687.144,687.143
687.147,687.148
687.150,687.152
687.152,687.155
687.147,687.147
687.142,687.140
687.137,687.134
687.141,687.139
687.136,687.133
687.140,687.138
687.143,687.143
687.147,687.147
687.142,687.140
687.145,687.145
687.148,687.149
687.151,687.153
687.153,687.156
687.147,687.148
687.142,687.141
687.137,687.134
687.133,687.128
687.137,687.134
687.133,687.128
687.137,687.134
687.133,687.128
687.137,687.134
687.138,687.135
687.142,687.141
687.145,687.145
687.148,687.149
687.151,687.153
687.153,687.156
687.156,687.160
687.158,687.162
687.159,687.165
687.153,687.156
687.155,687.159
687.157,687.162
687.151,687.154
687.154,687.157
687.148,687.149
687.151,687.153
687.145,687.145
687.140,687.138
687.136,687.132
687.131,687.126
687.136,687.132
687.140,687.137
687.143,687.142
687.146,687.147
687.149,687.151
687.144,687.143
687.139,687.137
687.143,687.142
687.146,687.146
687.141,687.139
687.144,687.144
687.147,687.148
687.142,687.141
687.137,687.134
687.133,687.128
687.137,687.134
687.141,687.139
687.136,687.133
687.140,687.138
687.136,687.132
687.140,687.137
687.143,687.142
687.138,687.136
687.142,687.141
687.145,687.145
687.140,687.138
687.144,687.143
687.139,687.136
687.135,687.130
687.139,687.136
687.134,687.130
687.136,687.132
687.132,687.126
687.136,687.132
687.140,687.138
687.143,687.142
687.146,687.147
687.141,687.140
687.145,687.144
687.148,687.149
687.151,687.152
687.145,687.145
687.140,687.138
687.135,687.132
687.131,687.126
687.128,687.121
687.130,687.124
687.134,687.130
687.138,687.135
687.134,687.129
687.138,687.135
687.142,687.140
687.137,687.134
687.141,687.139
687.144,687.144
687.139,687.137
687.135,687.131
687.131,687.125
687.135,687.131
687.131,687.126
687.128,687.120
687.124,687.116
687.129,687.123
687.134,687.129
687.130,687.124
687.134,687.130
687.130,687.124
687.127,687.119
687.131,687.126
687.128,687.121
687.124,687.116
687.129,687.123
687.134,687.129
687.138,687.135
687.142,687.140
687.145,687.145
687.148,687.149
687.151,687.153
687.145,687.145
687.140,687.138
687.144,687.143
687.139,687.136
687.134,687.130
687.130,687.125
687.127,687.120
687.124,687.115
687.121,687.111
687.126,687.118
687.131,687.125
687.127,687.120
687.132,687.127
687.136,687.133
687.132,687.127
687.136,687.133
687.140,687.138
687.144,687.143
687.147,687.147
687.142,687.140
687.145,687.145
687.148,687.149
687.151,687.153
687.145,687.145
687.148,687.149
687.140,687.138
687.136,687.132
687.132,687.126
687.128,687.121
687.125,687.116
687.130,687.123
687.134,687.130
687.138,687.135
687.142,687.140
687.145,687.145
687.140,687.138
687.144,687.143
687.147,687.147
687.142,687.140
687.145,687.145
687.148,687.149
687.151,687.153
687.145,687.145
687.140,687.138
687.136,687.132
687.132,687.126
687.128,687.121
687.125,687.116
687.130,687.123
687.126,687.118
687.131,687.125
687.127,687.120
687.132,687.126
687.136,687.132
687.140,687.138
687.135,687.131
687.131,687.126
687.128,687.121
687.124,687.116
687.121,687.112
687.119,687.108
687.116,687.104
687.114,687.101
687.112,687.099
687.110,687.096
687.108,687.094
687.104,687.088
687.103,687.086
687.102,687.085
687.109,687.095
687.108,687.093
687.106,687.091
687.105,687.089
687.101,687.084
687.100,687.083
687.100,687.082
687.099,687.081
687.098,687.080
687.098,687.079
687.110,687.096
687.117,687.105
687.114,687.102
687.112,687.099
687.110,687.097
687.109,687.094
687.107,687.092
687.106,687.090
687.104,687.088
687.111,687.098
687.110,687.095
687.108,687.093
687.106,687.091
687.105,687.089
687.112,687.099
687.110,687.096
687.108,687.094
687.107,687.092
687.106,687.090
687.112,687.099
687.110,687.097
687.109,687.094
687.115,687.103
687.113,687.100
687.119,687.109
687.110,687.096
687.108,687.094
687.112,687.099
687.110,687.096
687.117,687.105
687.114,687.102
687.112,687.099
687.118,687.108
687.124,687.116
687.129,687.122
687.125,687.118
687.122,687.113
687.120,687.109
687.117,687.106
687.115,687.103
687.113,687.100
687.111,687.097
687.117,687.106
687.115,687.103
687.113,687.100
687.111,687.097
687.117,687.106
687.123,687.114
687.120,687.110
687.117,687.106
687.094,687.074
687.094,687.074
687.094,687.074
687.094,687.073
687.094,687.073
687.094,687.073
687.093,687.073
687.101,687.084
687.109,687.094
687.107,687.092
687.106,687.090
687.104,687.088
687.103,687.087
687.102,687.085
687.101,687.084
687.100,687.083
687.097,687.078
687.094,687.074
687.086,687.062
687.086,687.063
687.087,687.064
687.088,687.065
687.088,687.066
687.089,687.066
687.089,687.067
687.089,687.067
687.090,687.068
687.090,687.068
687.090,687.068
687.090,687.069
687.091,687.069
687.091,687.069
687.091,687.069
687.091,687.070
687.099,687.081
687.107,687.091
687.103,687.086
687.102,687.084
687.101,687.083
687.100,687.082
687.099,687.081
687.099,687.080
687.098,687.079
687.097,687.079
687.097,687.078
687.097,687.077
687.096,687.077
687.096,687.076
687.096,687.076
687.095,687.075
687.095,687.075
687.095,687.075
687.103,687.086
687.102,687.084
687.101,687.083
687.100,687.082
687.099,687.081
687.099,687.080
687.098,687.079
687.106,687.090
687.104,687.088
687.111,687.098
687.117,687.106
687.123,687.114
687.120,687.110
687.118,687.107
687.115,687.103
687.113,687.100
687.111,687.098
687.109,687.095
687.108,687.093
687.106,687.091
687.105,687.089
687.104,687.087
687.103,687.086
687.102,687.085
687.101,687.083
687.100,687.082
687.099,687.081
687.099,687.080
687.098,687.079
687.098,687.079
687.097,687.078
687.097,687.077
687.096,687.077
687.096,687.076
687.096,687.076
687.095,687.076
687.095,687.075
687.095,687.075
687.087,687.063
687.087,687.064
687.088,687.065
687.088,687.066
687.089,687.066
687.089,687.067
687.089,687.067
687.090,687.068
687.090,687.068
687.090,687.068
687.090,687.069
687.091,687.069
687.091,687.069
687.091,687.069
687.091,687.070
687.091,687.070
687.083,687.059
687.084,687.060
687.085,687.061
687.086,687.062
687.086,687.063
687.087,687.064
687.088,687.065
687.088,687.065
687.088,687.066
687.089,687.067
687.089,687.067
687.089,687.067
687.090,687.068
687.090,687.068
687.090,687.069
687.091,687.069
687.091,687.069
687.091,687.069
687.091,687.070
687.099,687.081
687.099,687.080
687.098,687.079
687.097,687.079
687.097,687.078
687.097,687.077
687.096,687.077
687.096,687.076
687.096,687.076
687.095,687.075
687.095,687.075
687.095,687.075
687.095,687.075
687.094,687.074
687.094,687.074
687.094,687.074
687.094,687.074
687.094,687.073
687.094,687.073
687.094,687.073
687.093,687.073
687.093,687.073
687.093,687.073
687.093,687.073
687.093,687.073
687.093,687.073
687.093,687.072
687.093,687.072
687.093,687.072
687.093,687.072
687.093,687.072
687.093,687.072
687.093,687.072
687.093,687.072
687.093,687.072
687.093,687.072
687.093,687.072
687.101,687.083
687.108,687.093
687.107,687.091
687.105,687.089
687.104,687.088
