# Physical_Baseline=691.28pF, Trigger_Distance=18.8cm, Atten_Ratio=3.53
Raw_Capacitance(pF),Normalized_Capacitance(pF)
691.500,692.061
691.490,692.024
691.493,692.035
691.491,692.029
691.494,692.039
691.492,692.033
691.487,692.015
691.486,692.010
691.485,692.006
691.480,691.991
691.472,691.960
691.468,691.949
691.461,691.923
691.451,691.887
691.453,691.895
691.447,691.873
691.441,691.854
691.437,691.836
691.432,691.820
691.428,691.806
691.424,691.793
691.426,691.798
691.422,691.786
691.424,691.791
691.420,691.779
691.422,691.785
691.419,691.774
691.421,691.781
691.410,691.742
691.404,691.723
691.403,691.718
691.394,691.685
691.393,691.683
691.393,691.682
691.389,691.669
691.389,691.669
691.386,691.657
691.386,691.658
691.386,691.659
691.383,691.648
691.376,691.622
691.369,691.598
691.368,691.593
691.362,691.571
691.356,691.552
691.348,691.523
691.344,691.508
691.340,691.495
691.341,691.500
691.330,691.459
691.319,691.421
691.314,691.405
691.310,691.389
691.310,691.387
691.309,691.386
691.305,691.372
691.302,691.360
691.294,691.332
691.295,691.336
691.288,691.310
691.286,691.304
691.284,691.298
691.286,691.305
691.280,691.283
691.282,691.291
691.276,691.270
691.276,691.267
691.275,691.265
691.266,691.235
691.262,691.219
691.258,691.205
691.254,691.192
691.251,691.180
691.245,691.158
691.239,691.137
691.242,691.147
691.018,690.358
691.010,690.329
691.006,690.313
691.002,690.299
691.003,690.304
690.999,690.291
690.993,690.268
690.995,690.275
690.992,690.265
690.989,690.256
690.984,690.236
690.990,690.258
690.984,690.238
690.979,690.219
690.978,690.214
690.973,690.198
690.972,690.195
690.972,690.193
690.968,690.179
690.959,690.149
690.956,690.139
690.949,690.114
690.947,690.107
690.941,690.084
690.932,690.052
690.836,689.712
690.836,689.716
690.829,689.690
690.826,689.678
690.828,689.685
690.821,689.662
690.824,689.670
690.813,689.632
690.808,689.614
690.803,689.598
690.794,689.567
690.794,689.567
690.791,689.555
690.796,689.574
690.788,689.544
690.781,689.518
690.779,689.511
690.777,689.505
690.771,689.483
690.765,689.462
690.764,689.461
690.764,689.459
690.764,689.458
690.758,689.440
690.754,689.423
690.614,688.930
690.612,688.922
690.610,688.915
690.608,688.908
690.607,688.903
690.605,688.897
690.604,688.893
690.602,688.888
690.605,688.896
690.598,688.874
690.593,688.854
690.588,688.837
690.588,688.838
690.588,688.838
690.589,688.839
690.581,688.811
690.577,688.798
690.573,688.786
690.567,688.763
690.561,688.742
690.564,688.752
690.567,688.761
690.561,688.741
690.559,688.734
690.554,688.716
690.557,688.729
690.560,688.740
690.555,688.722
690.554,688.716
690.549,688.700
690.553,688.714
690.549,688.698
690.548,688.695
690.544,688.681
690.540,688.668
690.537,688.657
690.529,688.629
690.519,688.593
690.518,688.589
690.520,688.596
690.518,688.592
690.517,688.587
690.511,688.566
690.503,688.536
690.495,688.509
690.488,688.484
690.485,688.473
690.487,688.480
690.481,688.458
690.478,688.449
690.473,688.430
690.476,688.441
690.479,688.452
690.477,688.444
690.479,688.454
690.474,688.434
690.480,688.456
690.475,688.436
690.478,688.447
690.475,688.439
690.470,688.421
690.474,688.433
690.469,688.416
690.464,688.400
690.460,688.385
690.460,688.383
690.456,688.370
690.461,688.387
690.460,688.385
690.460,688.384
690.456,688.371
690.453,688.359
690.458,688.377
690.454,688.365
690.454,688.365
690.451,688.354
690.448,688.344
690.441,688.317
690.431,688.282
690.430,688.279
690.429,688.276
690.428,688.273
690.420,688.243
690.412,688.215
690.405,688.189
690.406,688.195
690.411,688.211
690.404,688.186
690.401,688.175
690.403,688.182
690.399,688.171
690.402,688.178
690.399,688.168
690.401,688.175
690.395,688.154
690.389,688.134
690.384,688.116
