# Physical_Baseline=707.35pF, Trigger_Distance=9.1cm, Atten_Ratio=0.83
Raw_Capacitance(pF),Normalized_Capacitance(pF)
710.118,709.642
710.100,709.627
710.084,709.614
710.069,709.602
710.049,709.585
710.030,709.569
710.012,709.555
709.988,709.534
709.967,709.517
709.955,709.508
709.936,709.492
709.919,709.478
709.897,709.459
709.883,709.448
709.864,709.432
709.846,709.417
709.829,709.403
709.807,709.385
709.787,709.368
709.759,709.345
709.734,709.324
709.711,709.305
709.682,709.282
709.664,709.267
709.640,709.246
709.618,709.228
709.591,709.206
709.567,709.186
709.545,709.168
709.515,709.143
709.490,709.122
709.465,709.102
709.437,709.078
709.409,709.055
709.377,709.029
709.348,709.005
709.321,708.982
709.289,708.956
709.261,708.932
709.226,708.904
709.195,708.878
709.167,708.855
709.142,708.834
709.111,708.808
709.083,708.785
709.047,708.756
709.025,708.737
707.529,707.498
707.488,707.464
707.457,707.439
707.422,707.410
707.389,707.383
707.345,707.346
707.311,707.318
707.272,707.286
707.237,707.256
707.190,707.218
707.156,707.190
707.116,707.156
707.070,707.119
706.494,706.641
706.481,706.630
706.454,706.608
706.463,706.616
706.445,706.601
706.453,706.608
706.459,706.612
706.447,706.603
706.441,706.598
706.436,706.594
706.419,706.579
706.405,706.567
704.236,704.772
704.206,704.746
704.184,704.728
704.156,704.705
704.133,704.686
704.110,704.667
704.092,704.652
704.067,704.631
704.042,704.611
704.013,704.587
703.993,704.571
703.970,704.551
703.948,704.533
703.929,704.517
703.909,704.500
703.885,704.481
703.863,704.463
703.844,704.447
703.826,704.432
703.810,704.419
703.795,704.407
703.782,704.396
703.770,704.386
703.751,704.370
703.734,704.356
703.719,704.343
703.705,704.332
703.692,704.321
703.672,704.305
703.660,704.295
703.641,704.279
703.626,704.266
703.621,704.262
703.608,704.251
703.594,704.239
703.583,704.231
703.574,704.223
703.557,704.209
703.548,704.201
703.533,704.190
703.518,704.177
703.507,704.167
703.496,704.159
703.487,704.151
703.479,704.144
703.471,704.138
703.456,704.125
703.442,704.114
703.430,704.104
703.416,704.092
703.406,704.084
703.397,704.077
703.389,704.070
703.382,704.064
703.372,704.056
703.358,704.045
703.346,704.034
703.326,704.018
703.314,704.008
703.306,704.001
703.290,703.988
703.275,703.976
703.263,703.965
703.251,703.956
703.232,703.940
703.215,703.926
703.200,703.913
703.186,703.902
703.173,703.891
703.153,703.875
703.136,703.860
703.120,703.847
703.102,703.833
703.081,703.815
703.054,703.793
703.029,703.772
702.999,703.747
702.971,703.724
702.940,703.699
702.910,703.674
702.883,703.651
702.858,703.630
702.835,703.612
702.815,703.595
702.797,703.580
702.780,703.566
702.757,703.546
702.727,703.522
702.709,703.507
702.684,703.487
702.654,703.461
702.629,703.441
702.604,703.420
702.581,703.401
702.552,703.377
702.526,703.355
702.502,703.335
702.480,703.318
702.461,703.302
702.438,703.283
702.414,703.263
702.393,703.245
702.374,703.229
702.351,703.210
702.338,703.200
702.324,703.188
702.303,703.171
702.284,703.155
702.267,703.141
702.252,703.128
702.238,703.117
702.217,703.099
702.198,703.084
702.189,703.076
702.173,703.063
702.158,703.051
702.144,703.039
702.132,703.029
702.116,703.016
702.099,703.001
702.083,702.988
702.068,702.976
702.055,702.966
702.046,702.958
702.035,702.949
702.025,702.941
702.019,702.936
702.011,702.929
701.995,702.916
701.984,702.906
701.971,702.895
701.959,702.886
701.948,702.877
701.938,702.869
701.924,702.857
701.916,702.851
701.912,702.847
701.898,702.835
701.896,702.833
701.891,702.829
701.881,702.821
701.870,702.812
701.862,702.805
701.852,702.797
701.843,702.790
701.838,702.786
701.831,702.779
701.818,702.769
701.805,702.758
701.792,702.748
701.783,702.741
701.773,702.732
701.763,702.724
701.758,702.719
701.744,702.708
701.729,702.696
701.724,702.691
701.714,702.683
701.713,702.682
701.701,702.672
701.690,702.663
701.680,702.655
701.671,702.647
701.663,702.641
701.650,702.630
701.647,702.628
701.636,702.619
701.626,702.610
701.617,702.603
701.609,702.596
701.602,702.590
701.595,702.584
701.589,702.579
701.583,702.575
701.570,702.564
701.566,702.561
701.555,702.551
701.541,702.540
701.529,702.530
701.526,702.528
701.516,702.519
701.509,702.513
701.503,702.508
701.497,702.504
701.489,702.497
701.482,702.491
701.470,702.481
701.468,702.479
701.463,702.475
701.458,702.471
701.449,702.463
701.440,702.456
701.438,702.454
701.430,702.448
701.423,702.442
701.414,702.435
701.401,702.424
701.394,702.418
701.391,702.415
701.379,702.406
701.374,702.402
701.365,702.394
701.353,702.384
701.345,702.378
701.336,702.370
701.321,702.358
701.314,702.352
701.302,702.342
701.296,702.337
701.286,702.328
701.276,702.320
701.265,702.311
701.257,702.305
701.251,702.299
701.241,702.292
701.236,702.287
701.232,702.284
701.224,702.277
701.213,702.268
701.210,702.266
701.205,702.261
701.200,702.257
701.191,702.250
701.182,702.243
701.174,702.236
701.167,702.230
701.158,702.223
701.150,702.216
701.137,702.205
701.125,702.195
701.115,702.187
701.105,702.179
701.096,702.172
701.089,702.165
701.082,702.159
701.075,702.154
701.061,702.142
701.049,702.132
701.037,702.123
701.024,702.111
701.012,702.101
701.004,702.095
700.997,702.089
700.982,702.077
700.969,702.066
700.962,702.060
700.951,702.051
700.940,702.042
700.928,702.032
700.920,702.025
700.913,702.019
700.903,702.011
700.894,702.004
700.881,701.993
700.874,701.988
700.863,701.978
700.850,701.967
700.841,701.960
700.830,701.951
700.823,701.945
700.817,701.940
700.811,701.935
700.798,701.924
700.794,701.921
700.787,701.915
700.768,701.899
700.759,701.892
700.747,701.882
700.740,701.876
700.730,701.868
700.716,701.857
700.704,701.846
700.701,701.844
700.690,701.835
700.676,701.824
700.660,701.810
700.644,701.797
700.622,701.779
700.610,701.769
700.600,701.760
700.590,701.752
700.573,701.738
700.558,701.726
700.536,701.707
700.516,701.691
700.506,701.683
700.489,701.669
700.479,701.660
700.464,701.648
700.451,701.637
700.431,701.621
700.413,701.606
700.396,701.592
700.382,701.580
700.360,701.562
700.340,701.546
700.323,701.531
700.299,701.511
700.285,701.500
700.272,701.489
700.253,701.473
700.235,701.459
700.223,701.448
700.208,701.436
700.187,701.418
700.167,701.402
700.141,701.381
700.118,701.361
700.097,701.344
700.078,701.328
700.061,701.314
700.037,701.294
700.015,701.276
699.996,701.260
699.970,701.239
699.947,701.220
699.917,701.195
699.891,701.173
699.867,701.154
699.837,701.129
699.810,701.106
699.786,701.086
699.767,701.070
699.746,701.054
699.728,701.038
699.711,701.025
699.691,701.008
699.673,700.993
699.657,700.980
699.639,700.965
699.622,700.951
699.608,700.939
699.586,700.921
699.567,700.905
699.552,700.893
699.536,700.879
699.521,700.867
699.508,700.856
699.487,700.839
699.464,700.820
699.448,700.807
699.429,700.791
699.416,700.780
699.400,700.767
699.373,700.745
699.353,700.728
699.331,700.710
699.303,700.687
699.281,700.668
699.258,700.649
699.237,700.632
699.218,700.616
699.196,700.598
699.176,700.581
699.158,700.566
699.138,700.550
699.121,700.535
699.104,700.522
699.082,700.503
699.061,700.486
699.051,700.478
699.033,700.463
699.017,700.450
699.003,700.438
698.990,700.427
698.978,700.417
698.967,700.408
698.953,700.396
698.940,700.386
698.928,700.376
698.914,700.364
698.901,700.354
698.889,700.344
698.874,700.331
698.869,700.327
698.860,700.320
698.852,700.313
698.849,700.310
698.838,700.301
698.832,700.296
698.822,700.288
698.813,700.281
698.810,700.278
698.794,700.265
698.785,700.257
698.776,700.250
698.763,700.240
698.749,700.227
698.739,700.219
698.734,700.216
698.734,700.215
698.722,700.205
698.714,700.199
698.708,700.194
698.698,700.186
698.693,700.181
698.688,700.177
698.681,700.171
698.677,700.168
698.671,700.163
698.566,700.076
698.562,700.073
698.558,700.070
698.558,700.070
698.550,700.063
698.547,700.061
698.545,700.059
698.538,700.053
698.540,700.054
698.538,700.053
698.536,700.052
698.539,700.053
698.540,700.055
698.539,700.053
698.537,700.052
698.531,700.047
698.525,700.042
698.517,700.035
698.517,700.036
698.513,700.032
698.509,700.029
698.506,700.026
698.502,700.024
698.496,700.018
698.499,700.020
698.476,700.001
698.472,699.998
698.464,699.992
698.465,699.992
698.465,699.993
698.458,699.987
698.451,699.981
698.453,699.983
698.452,699.981
698.450,699.980
698.449,699.979
698.443,699.974
698.446,699.976
698.440,699.972
698.443,699.974
698.438,699.970
698.441,699.973
698.444,699.975
698.443,699.974
698.443,699.974
698.442,699.973
698.437,699.969
698.432,699.965
698.428,699.962
698.432,699.965
698.419,699.954
698.416,699.952
698.413,699.949
698.415,699.951
698.409,699.946
698.411,699.948
698.414,699.950
698.416,699.952
698.410,699.947
698.404,699.942
698.407,699.944
698.413,699.950
698.411,699.948
698.408,699.946
698.406,699.944
698.404,699.942
698.403,699.941
698.409,699.946
698.407,699.945
698.405,699.943
698.408,699.945
698.411,699.948
698.413,699.950
698.407,699.945
698.410,699.947
698.361,699.906
698.364,699.908
698.362,699.907
698.361,699.906
698.360,699.906
698.359,699.905
698.358,699.904
698.357,699.903
698.357,699.903
698.356,699.902
698.356,699.902
698.359,699.904
698.361,699.907
698.364,699.909
698.358,699.904
698.360,699.906
698.355,699.901
698.358,699.904
698.361,699.906
698.360,699.905
698.350,699.898
698.350,699.898
698.354,699.900
698.345,699.893
698.341,699.890
698.337,699.887
698.342,699.891
698.338,699.887
698.335,699.884
698.336,699.886
698.337,699.887
698.339,699.888
698.331,699.882
698.333,699.883
698.330,699.881
698.327,699.879
698.333,699.883
698.330,699.881
698.327,699.878
698.325,699.876
698.322,699.874
698.320,699.873
698.323,699.875
698.318,699.870
698.316,699.869
698.306,699.861
698.306,699.861
698.310,699.864
698.309,699.863
698.305,699.860
698.309,699.863
698.308,699.863
698.308,699.862
698.307,699.862
698.306,699.861
698.302,699.858
698.299,699.855
698.304,699.859
698.311,699.865
698.310,699.865
698.310,699.864
698.309,699.863
698.304,699.860
698.301,699.856
698.301,699.856
698.297,699.853
698.297,699.854
698.298,699.854
698.298,699.854
698.298,699.855
698.299,699.855
698.295,699.852
698.300,699.856
698.305,699.860
698.305,699.860
698.304,699.860
698.304,699.859
698.304,699.859
698.300,699.856
698.300,699.856
698.300,699.856
698.300,699.856
698.300,699.856
698.300,699.856
698.300,699.856
698.300,699.856
698.300,699.856
698.297,699.853
698.302,699.858
698.302,699.857
698.302,699.857
698.302,699.857
698.310,699.864
698.309,699.863
698.305,699.860
698.301,699.857
698.301,699.857
698.301,699.857
698.293,699.850
698.293,699.850
698.291,699.848
698.283,699.842
698.285,699.844
698.287,699.845
698.293,699.850
698.293,699.850
698.286,699.844
698.287,699.845
698.289,699.847
698.290,699.847
698.287,699.845
698.281,699.840
698.282,699.841
698.281,699.840
698.279,699.839
698.273,699.834
698.268,699.829
698.263,699.825
698.258,699.821
698.259,699.822
698.263,699.825
698.266,699.828
698.261,699.824
698.265,699.827
698.265,699.827
698.268,699.830
698.263,699.826
698.259,699.822
698.259,699.822
698.255,699.819
698.251,699.816
698.244,699.810
698.246,699.811
698.243,699.809
698.241,699.807
698.238,699.805
698.232,699.800
698.239,699.805
698.237,699.804
698.231,699.799
698.234,699.801
698.241,699.807
698.238,699.805
698.233,699.800
698.231,699.799
698.229,699.797
698.224,699.793
698.224,699.793
698.223,699.792
698.219,699.788
698.218,699.788
698.218,699.788
698.214,699.785
698.206,699.778
698.203,699.776
698.205,699.777
698.194,699.768
698.188,699.763
698.182,699.758
698.182,699.758
698.185,699.761
698.184,699.760
698.187,699.763
698.186,699.762
698.181,699.757
698.176,699.753
698.176,699.753
698.172,699.750
698.160,699.740
698.157,699.737
698.154,699.735
698.148,699.730
698.147,699.729
698.145,699.727
698.143,699.726
698.142,699.725
698.133,699.717
698.129,699.714
698.129,699.714
698.121,699.708
698.122,699.708
698.114,699.702
698.108,699.697
698.101,699.691
698.101,699.691
698.095,699.686
698.090,699.682
698.090,699.682
698.086,699.679
698.082,699.675
698.078,699.672
698.075,699.670
698.068,699.664
698.066,699.662
698.064,699.660
698.058,699.656
698.057,699.655
698.048,699.647
698.039,699.640
698.040,699.640
698.040,699.641
698.037,699.638
698.037,699.638
698.038,699.639
698.030,699.633
698.020,699.624
698.014,699.619
698.017,699.621
698.016,699.621
698.010,699.616
698.014,699.619
698.008,699.614
698.004,699.610
697.996,699.604
697.992,699.601
697.989,699.598
697.982,699.593
697.980,699.591
697.978,699.589
697.976,699.588
697.974,699.586
697.977,699.589
697.976,699.587
697.974,699.586
697.972,699.585
697.968,699.581
697.967,699.580
697.966,699.579
697.957,699.572
697.957,699.572
697.957,699.572
697.957,699.572
697.949,699.565
697.942,699.559
697.935,699.554
697.937,699.556
697.939,699.557
697.933,699.552
697.927,699.547
697.922,699.543
697.925,699.546
697.920,699.541
697.916,699.538
697.912,699.534
697.908,699.531
697.905,699.528
697.901,699.526
697.899,699.524
697.893,699.519
697.895,699.521
697.898,699.523
697.892,699.518
697.890,699.516
697.888,699.515
697.883,699.511
697.879,699.507
697.875,699.504
697.866,699.497
697.859,699.490
697.860,699.491
697.853,699.486
697.855,699.487
697.856,699.489
697.850,699.483
697.844,699.478
697.838,699.474
697.833,699.470
697.829,699.466
697.833,699.469
697.837,699.472
697.832,699.468
697.828,699.465
697.832,699.468
697.836,699.472
697.831,699.468
697.827,699.464
697.831,699.468
697.832,699.468
697.827,699.465
697.824,699.461
697.820,699.458
697.817,699.456
697.814,699.453
697.811,699.451
697.809,699.449
697.807,699.448
697.797,699.439
697.792,699.435
697.784,699.428
697.784,699.429
697.781,699.426
697.773,699.419
697.774,699.421
697.775,699.421
697.777,699.422
697.774,699.420
697.775,699.421
697.768,699.415
697.766,699.414
697.768,699.415
697.770,699.417
697.772,699.418
697.769,699.416
697.763,699.411
697.765,699.413
697.759,699.408
697.762,699.410
697.764,699.412
697.758,699.407
697.749,699.400
697.753,699.403
697.748,699.399
697.751,699.402
697.743,699.395
697.747,699.398
697.743,699.394
697.739,699.391
697.735,699.388
697.732,699.386
697.729,699.383
697.726,699.381
697.724,699.379
697.722,699.377
697.720,699.375
697.718,699.374
697.708,699.366
697.708,699.365
697.707,699.365
697.698,699.358
697.698,699.358
697.699,699.358
697.695,699.355
697.696,699.356
697.696,699.356
697.697,699.356
697.697,699.357
