# Physical_Baseline=685.58pF, Trigger_Distance=12.2cm, Atten_Ratio=1.49
Raw_Capacitance(pF),Normalized_Capacitance(pF)
685.533,685.513
685.535,685.515
685.536,685.517
685.538,685.519
685.541,685.524
685.544,685.529
685.547,685.533
685.550,685.537
685.544,685.529
685.539,685.521
685.540,685.523
685.541,685.524
685.542,685.525
685.543,685.526
685.535,685.515
685.537,685.518
685.538,685.519
685.539,685.521
685.540,685.523
685.549,685.536
685.557,685.548
685.556,685.547
685.556,685.546
685.563,685.557
685.570,685.567
685.568,685.564
685.569,685.565
685.569,685.566
685.570,685.567
685.570,685.567
685.576,685.577
685.582,685.585
685.579,685.580
685.584,685.588
685.581,685.583
685.586,685.591
685.593,685.601
685.591,685.598
685.597,685.608
685.601,685.613
685.596,685.606
685.600,685.611
685.603,685.616
685.598,685.609
685.604,685.617
685.601,685.613
685.598,685.609
685.596,685.606
685.600,685.611
685.595,685.604
685.599,685.610
685.594,685.603
685.598,685.609
685.596,685.605
685.602,685.614
685.607,685.622
685.604,685.618
685.607,685.622
685.601,685.614
685.596,685.607
685.592,685.600
685.588,685.594
685.587,685.592
685.586,685.590
685.585,685.589
685.584,685.587
685.588,685.595
685.585,685.589
685.589,685.596
685.586,685.590
685.582,685.585
685.581,685.584
685.581,685.583
685.588,685.594
685.587,685.592
685.586,685.591
685.582,685.586
685.579,685.581
685.576,685.577
685.574,685.573
685.572,685.570
685.578,685.578
685.577,685.578
685.577,685.578
685.582,685.586
685.587,685.593
685.584,685.588
685.581,685.583
685.578,685.578
685.575,685.575
685.575,685.574
685.583,685.586
685.580,685.582
685.585,685.589
685.582,685.584
685.579,685.580
685.576,685.576
685.573,685.572
685.571,685.569
685.569,685.566
685.567,685.563
685.568,685.564
685.568,685.565
685.561,685.554
685.562,685.556
685.555,685.546
685.557,685.548
685.551,685.539
685.553,685.542
685.555,685.545
685.557,685.548
685.559,685.550
685.560,685.553
685.561,685.555
685.563,685.556
685.564,685.558
685.565,685.560
685.563,685.557
685.562,685.556
685.561,685.554
685.560,685.552
685.559,685.551
685.558,685.550
685.557,685.548
685.557,685.547
685.556,685.546
685.555,685.545
685.555,685.545
685.554,685.544
685.554,685.543
685.553,685.543
685.553,685.542
685.553,685.542
685.552,685.541
685.552,685.541
685.544,685.529
685.545,685.529
685.545,685.530
685.545,685.531
685.546,685.531
685.546,685.532
685.547,685.532
685.547,685.533
685.547,685.533
685.547,685.534
685.548,685.534
685.548,685.534
685.542,685.526
685.545,685.531
685.540,685.523
685.543,685.528
685.538,685.520
685.534,685.513
685.530,685.507
685.531,685.510
685.533,685.513
685.537,685.518
685.530,685.508
685.532,685.511
685.528,685.505
685.525,685.500
685.519,685.491
685.516,685.487
685.519,685.492
685.522,685.496
685.517,685.488
685.520,685.493
685.517,685.489
685.523,685.497
685.519,685.492
685.525,685.500
685.529,685.507
685.534,685.513
685.538,685.519
685.541,685.524
685.536,685.517
685.532,685.510
685.528,685.505
685.524,685.499
685.521,685.494
685.518,685.490
685.523,685.498
685.518,685.490
685.513,685.482
685.511,685.479
685.509,685.476
685.515,685.485
685.513,685.482
685.516,685.487
685.519,685.492
685.514,685.484
685.518,685.489
685.523,685.497
685.520,685.493
685.523,685.497
685.517,685.489
685.512,685.482
685.508,685.475
685.512,685.481
685.508,685.474
685.504,685.468
685.500,685.463
685.497,685.458
685.502,685.466
685.498,685.461
685.498,685.459
685.497,685.458
685.496,685.457
685.493,685.453
685.491,685.449
685.488,685.446
685.486,685.442
685.492,685.451
685.490,685.448
685.490,685.448
685.490,685.448
685.490,685.448
685.487,685.444
685.485,685.441
685.492,685.450
685.491,685.450
685.499,685.462
685.506,685.473
685.505,685.470
685.503,685.468
685.502,685.466
685.507,685.473
685.505,685.471
685.504,685.469
685.502,685.467
685.501,685.465
685.498,685.460
685.495,685.455
685.492,685.451
685.498,685.459
685.495,685.455
685.500,685.463
685.497,685.458
685.502,685.465
685.506,685.472
685.510,685.478
685.514,685.484
685.518,685.489
685.513,685.482
685.508,685.475
685.504,685.469
685.503,685.467
685.510,685.477
685.516,685.486
685.513,685.483
685.511,685.480
685.507,685.473
685.503,685.467
685.502,685.465
685.501,685.464
685.500,685.462
685.499,685.461
685.504,685.468
685.508,685.475
685.504,685.469
685.500,685.463
685.497,685.458
685.502,685.466
685.498,685.461
685.495,685.456
685.493,685.452
685.492,685.452
685.490,685.448
685.498,685.460
685.497,685.459
685.496,685.458
685.496,685.457
685.503,685.468
685.502,685.466
685.501,685.464
685.506,685.471
685.504,685.469
685.503,685.467
685.507,685.474
685.503,685.468
685.508,685.474
685.512,685.480
685.515,685.486
685.511,685.479
685.514,685.484
685.510,685.477
685.513,685.483
685.509,685.476
685.505,685.470
685.501,685.465
685.500,685.463
685.497,685.458
685.496,685.457
685.493,685.453
685.499,685.461
685.504,685.468
685.500,685.463
685.497,685.458
685.496,685.457
685.496,685.456
685.493,685.452
685.492,685.452
685.498,685.460
685.495,685.455
685.500,685.463
685.497,685.458
685.494,685.454
685.491,685.450
685.489,685.446
685.487,685.443
685.485,685.440
685.485,685.441
685.486,685.442
685.484,685.439
685.482,685.436
685.480,685.434
685.479,685.432
685.478,685.430
685.479,685.432
685.480,685.433
685.481,685.435
685.490,685.448
685.488,685.444
685.485,685.441
685.484,685.439
685.482,685.436
685.480,685.434
685.479,685.432
685.478,685.430
685.479,685.432
685.480,685.433
685.489,685.446
685.497,685.459
685.494,685.454
685.494,685.454
685.493,685.453
685.491,685.449
685.488,685.446
685.486,685.442
685.492,685.451
685.490,685.448
685.487,685.444
685.485,685.441
685.486,685.442
685.478,685.431
685.479,685.432
685.480,685.434
685.481,685.435
685.482,685.436
685.481,685.434
685.487,685.444
685.485,685.441
685.491,685.450
685.497,685.458
685.494,685.454
685.491,685.450
685.489,685.446
685.487,685.443
685.487,685.443
685.487,685.444
685.487,685.444
685.488,685.445
685.486,685.442
685.484,685.439
685.490,685.448
685.488,685.445
685.486,685.442
685.484,685.439
685.482,685.436
685.489,685.446
685.494,685.455
685.494,685.454
685.494,685.453
685.499,685.461
685.504,685.469
685.500,685.463
685.505,685.470
685.501,685.465
685.506,685.472
685.502,685.466
685.499,685.461
685.498,685.460
685.497,685.459
685.496,685.458
685.488,685.445
685.486,685.442
685.484,685.439
685.482,685.436
685.481,685.434
685.479,685.432
685.480,685.434
685.481,685.435
685.474,685.424
685.473,685.423
685.472,685.422
685.472,685.421
685.471,685.420
685.473,685.423
685.475,685.425
685.474,685.424
685.473,685.423
685.472,685.422
685.472,685.421
685.471,685.420
685.471,685.419
685.470,685.419
685.472,685.421
685.474,685.424
685.473,685.423
685.475,685.425
685.474,685.424
685.481,685.435
685.480,685.433
685.478,685.431
685.479,685.432
685.480,685.434
685.481,685.435
685.482,685.437
685.483,685.438
685.476,685.427
685.475,685.425
685.474,685.424
685.473,685.423
685.480,685.434
685.479,685.432
685.478,685.430
685.477,685.428
685.478,685.430
685.479,685.432
685.480,685.433
685.479,685.431
685.477,685.429
685.476,685.428
685.475,685.426
685.474,685.425
685.474,685.424
685.475,685.426
685.477,685.428
685.478,685.430
685.479,685.432
685.486,685.442
685.492,685.451
685.489,685.447
685.495,685.456
685.500,685.463
685.497,685.458
685.502,685.466
685.506,685.473
685.503,685.467
685.507,685.474
685.503,685.468
685.508,685.474
685.504,685.468
685.500,685.463
685.507,685.474
685.505,685.471
685.504,685.469
685.503,685.467
685.507,685.474
685.505,685.471
685.502,685.466
685.498,685.460
685.503,685.468
685.508,685.474
685.504,685.468
685.500,685.463
685.505,685.470
685.509,685.477
685.513,685.482
685.516,685.487
685.514,685.484
685.512,685.480
685.510,685.477
685.508,685.475
685.514,685.484
685.512,685.481
685.518,685.490
685.523,685.498
685.520,685.493
685.515,685.485
685.518,685.490
685.521,685.495
685.516,685.487
685.511,685.480
685.507,685.473
685.503,685.467
685.507,685.474
685.511,685.480
685.507,685.474
685.511,685.480
685.507,685.473
685.511,685.479
685.515,685.485
685.518,685.490
685.513,685.482
685.516,685.488
685.520,685.492
685.515,685.485
685.518,685.490
685.513,685.482
685.516,685.487
685.512,685.480
685.515,685.486
685.511,685.479
685.514,685.484
685.520,685.493
685.517,685.489
685.523,685.497
685.528,685.504
685.524,685.499
685.521,685.494
685.518,685.490
685.523,685.498
685.520,685.493
685.523,685.497
685.517,685.489
685.512,685.482
685.508,685.475
685.512,685.481
685.508,685.474
685.504,685.468
685.500,685.463
685.497,685.458
685.502,685.466
685.509,685.476
685.507,685.473
685.505,685.471
685.504,685.469
685.503,685.467
685.499,685.462
685.496,685.457
685.501,685.465
685.498,685.460
685.503,685.467
685.507,685.474
685.503,685.468
685.508,685.474
685.504,685.468
685.502,685.467
685.501,685.465
685.500,685.463
685.497,685.458
685.496,685.457
685.496,685.456
685.493,685.452
685.490,685.448
685.488,685.445
685.486,685.442
685.484,685.439
685.484,685.440
685.493,685.453
685.493,685.452
685.492,685.452
685.492,685.451
685.490,685.448
685.495,685.456
685.501,685.464
685.505,685.471
685.510,685.477
685.505,685.471
685.502,685.465
685.506,685.472
685.505,685.470
685.503,685.468
685.502,685.466
685.499,685.461
685.495,685.456
685.495,685.455
685.492,685.451
685.490,685.448
685.495,685.456
685.493,685.452
685.490,685.448
685.488,685.445
685.494,685.453
685.499,685.461
685.496,685.457
685.493,685.452
685.493,685.452
685.500,685.464
685.499,685.462
685.499,685.461
685.498,685.460
685.497,685.459
685.496,685.458
685.504,685.469
685.503,685.467
685.501,685.465
685.500,685.463
685.499,685.462
685.506,685.473
685.511,685.479
685.517,685.488
685.514,685.484
685.520,685.493
685.525,685.500
685.527,685.504
685.530,685.507
685.531,685.510
685.533,685.513
685.543,685.527
685.538,685.519
685.539,685.521
685.540,685.523
685.541,685.524
685.542,685.525
685.543,685.526
685.543,685.527
685.544,685.528
685.547,685.533
685.549,685.537
685.552,685.540
685.554,685.543
685.548,685.534
685.550,685.538
685.553,685.541
685.555,685.545
685.554,685.544
685.554,685.543
685.553,685.543
685.553,685.542
685.553,685.542
685.552,685.541
685.552,685.541
685.552,685.540
685.552,685.540
685.554,685.543
685.556,685.546
685.558,685.549
685.559,685.551
685.566,685.562
685.573,685.571
685.571,685.568
685.577,685.577
685.582,685.585
685.579,685.581
685.576,685.576
685.576,685.576
685.576,685.576
685.576,685.576
685.576,685.576
685.576,685.575
685.573,685.572
685.571,685.569
685.569,685.566
685.567,685.563
685.568,685.564
685.568,685.565
685.569,685.566
685.570,685.566
685.568,685.564
685.566,685.561
685.564,685.559
685.563,685.557
685.562,685.555
685.561,685.553
685.562,685.555
685.563,685.557
685.564,685.559
685.563,685.557
685.562,685.555
685.561,685.553
685.568,685.564
685.566,685.561
685.564,685.559
685.563,685.557
685.564,685.558
685.573,685.572
685.571,685.568
685.569,685.566
685.567,685.563
685.573,685.572
685.571,685.569
685.569,685.566
685.567,685.563
685.568,685.564
685.569,685.565
685.567,685.562
685.573,685.572
685.579,685.581
685.584,685.588
685.581,685.583
685.580,685.583
685.580,685.582
685.585,685.589
685.590,685.596
685.586,685.591
685.582,685.586
685.579,685.581
685.579,685.580
685.578,685.580
685.578,685.579
685.575,685.575
685.581,685.583
685.578,685.579
685.583,685.587
685.580,685.582
685.577,685.578
685.577,685.578
685.577,685.577
685.576,685.577
685.584,685.588
685.589,685.596
685.593,685.602
685.597,685.608
685.601,685.613
685.596,685.606
685.599,685.611
685.605,685.619
685.602,685.615
685.597,685.608
685.601,685.613
685.596,685.606
685.591,685.599
685.587,685.593
685.594,685.603
685.600,685.612
685.604,685.617
685.606,685.621
685.609,685.625
685.603,685.617
685.609,685.625
685.605,685.620
685.608,685.624
685.603,685.616
685.606,685.620
685.611,685.628
685.615,685.635
685.609,685.625
685.611,685.629
685.606,685.620
685.608,685.624
685.611,685.628
685.607,685.623
685.612,685.630
685.614,685.633
685.616,685.636
685.618,685.638
685.614,685.632
685.618,685.639
685.619,685.641
685.621,685.643
685.622,685.645
685.615,685.635
685.611,685.629
685.616,685.635
685.620,685.642
685.621,685.644
685.622,685.645
685.624,685.647
685.625,685.648
685.620,685.641
685.624,685.647
685.625,685.648
685.625,685.650
685.626,685.651
685.619,685.640
685.620,685.642
685.624,685.648
685.619,685.641
685.621,685.643
685.622,685.645
685.623,685.646
685.627,685.651
685.627,685.653
685.628,685.653
685.629,685.654
685.623,685.647
685.619,685.640
685.620,685.642
685.622,685.644
685.623,685.646
685.626,685.651
685.629,685.655
685.630,685.656
685.630,685.657
685.633,685.661
685.635,685.664
685.638,685.668
685.637,685.667
685.637,685.667
685.637,685.666
685.639,685.670
685.633,685.661
685.625,685.649
685.626,685.650
685.618,685.639
685.620,685.642
685.616,685.635
685.612,685.629
685.608,685.624
685.611,685.628
685.613,685.631
685.617,685.638
685.621,685.643
685.622,685.645
685.624,685.647
685.617,685.636
685.618,685.639
685.620,685.641
685.615,685.635
685.612,685.629
685.614,685.632
685.608,685.623
685.602,685.615
685.605,685.619
685.600,685.612
685.597,685.608
685.603,685.617
685.609,685.625
685.603,685.616
685.598,685.609
685.593,685.602
685.597,685.608
685.601,685.613
685.596,685.606
685.591,685.599
685.590,685.597
685.596,685.606
685.594,685.603
685.590,685.597
685.586,685.591
685.583,685.586
685.588,685.593
685.584,685.588
685.581,685.583
685.578,685.579
685.578,685.578
685.577,685.578
685.577,685.578
685.577,685.577
685.582,685.585
685.579,685.581
685.584,685.589
685.581,685.584
685.578,685.579
685.578,685.579
685.577,685.578
685.577,685.578
685.577,685.577
685.574,685.574
685.572,685.570
685.578,685.579
685.575,685.575
685.573,685.571
685.571,685.568
685.571,685.569
685.571,685.569
685.572,685.570
685.564,685.558
685.562,685.556
685.569,685.566
685.567,685.563
685.566,685.561
685.564,685.559
685.563,685.557
685.562,685.555
685.561,685.553
685.560,685.552
685.559,685.550
685.558,685.549
685.557,685.548
685.556,685.547
685.556,685.546
685.557,685.549
685.559,685.551
685.561,685.553
685.560,685.552
685.559,685.550
685.560,685.553
685.553,685.543
685.547,685.534
685.542,685.526
685.537,685.518
685.533,685.512
685.526,685.502
685.523,685.497
685.528,685.504
685.532,685.511
685.528,685.505
685.533,685.511
685.536,685.517
685.540,685.523
685.535,685.516
685.529,685.506
685.533,685.512
685.529,685.506
685.533,685.513
685.529,685.506
685.534,685.513
685.529,685.507
685.526,685.501
685.522,685.496
685.519,685.492
685.524,685.499
685.529,685.507
685.526,685.501
685.522,685.496
685.519,685.491
685.516,685.487
685.514,685.484
685.512,685.480
685.510,685.477
685.513,685.483
685.509,685.476
685.513,685.482
685.508,685.475
685.512,685.481
685.508,685.475
685.504,685.469
685.500,685.463
685.499,685.462
685.498,685.461
685.495,685.456
685.492,685.452
685.490,685.448
685.488,685.445
685.494,685.453
685.493,685.453
685.493,685.452
685.493,685.452
685.492,685.452
685.490,685.448
685.488,685.444
685.493,685.453
685.491,685.449
685.488,685.446
685.486,685.443
685.484,685.440
685.485,685.441
685.485,685.441
685.486,685.442
685.492,685.451
685.497,685.459
685.494,685.455
685.492,685.451
685.489,685.447
685.481,685.435
685.474,685.424
685.473,685.423
685.473,685.422
685.464,685.409
685.464,685.410
685.464,685.410
685.459,685.402
685.459,685.403
685.452,685.392
685.453,685.393
685.454,685.395
685.458,685.400
685.461,685.405
685.461,685.406
685.462,685.406
685.454,685.395
685.450,685.388
685.445,685.382
685.439,685.373
685.442,685.376
685.444,685.380
685.438,685.371
685.435,685.366
685.438,685.371
685.433,685.363
685.436,685.367
685.439,685.372
685.444,685.379
685.440,685.374
685.437,685.369
685.431,685.361
685.427,685.354
685.422,685.348
685.421,685.345
685.425,685.352
685.421,685.345
685.428,685.355
685.425,685.352
685.421,685.346
685.426,685.352
