# Physical_Baseline=685.25pF, Trigger_Distance=8.2cm, Atten_Ratio=0.67
Raw_Capacitance(pF),Normalized_Capacitance(pF)
685.241,685.244
685.238,685.242
685.244,685.246
685.251,685.251
685.248,685.248
685.244,685.246
685.241,685.244
685.241,685.244
685.246,685.248
685.246,685.247
685.251,685.250
685.249,685.249
685.254,685.253
685.260,685.257
685.264,685.259
685.261,685.258
685.257,685.255
685.255,685.253
685.251,685.251
685.255,685.254
685.259,685.256
685.257,685.255
685.261,685.257
685.265,685.260
685.260,685.257
685.263,685.259
685.261,685.257
685.256,685.254
685.263,685.258
685.258,685.255
685.264,685.259
685.259,685.256
685.257,685.255
685.253,685.252
685.249,685.249
685.254,685.252
685.250,685.250
685.254,685.253
685.258,685.256
685.256,685.254
685.252,685.252
685.257,685.254
685.253,685.252
685.249,685.249
685.248,685.248
685.245,685.246
685.242,685.244
685.239,685.242
685.239,685.242
685.236,685.241
685.234,685.239
685.234,685.240
685.232,685.238
685.231,685.237
685.229,685.236
685.230,685.236
685.236,685.241
685.244,685.246
685.249,685.250
685.246,685.247
685.251,685.251
685.247,685.248
685.244,685.246
685.249,685.249
685.246,685.247
685.243,685.245
685.242,685.245
685.247,685.248
685.244,685.246
685.241,685.244
685.247,685.248
685.244,685.246
685.243,685.245
685.248,685.249
685.245,685.246
685.250,685.250
685.254,685.253
685.253,685.252
685.257,685.255
685.261,685.257
685.264,685.260
685.268,685.262
685.262,685.258
685.260,685.257
685.264,685.259
685.261,685.257
685.265,685.260
685.262,685.258
685.257,685.255
685.255,685.254
685.260,685.256
685.255,685.253
685.251,685.251
685.248,685.248
685.239,685.242
685.236,685.241
685.236,685.241
685.234,685.239
685.232,685.238
685.230,685.237
685.229,685.236
685.230,685.236
685.228,685.235
685.227,685.234
685.225,685.233
685.232,685.238
685.238,685.242
685.236,685.241
685.234,685.239
685.240,685.243
685.237,685.242
685.237,685.242
685.235,685.240
685.244,685.246
685.241,685.244
685.239,685.242
685.239,685.242
685.236,685.241
685.234,685.239
685.232,685.238
685.230,685.237
685.231,685.237
685.229,685.236
685.228,685.235
685.227,685.234
685.225,685.233
685.224,685.233
685.223,685.232
685.224,685.233
685.223,685.232
685.222,685.231
685.222,685.231
685.221,685.230
685.220,685.230
685.219,685.229
685.219,685.229
685.218,685.229
685.218,685.228
685.209,685.223
685.204,685.219
685.205,685.220
685.206,685.220
685.209,685.222
685.201,685.217
685.202,685.218
685.206,685.220
685.206,685.221
685.209,685.223
685.210,685.223
685.202,685.218
685.197,685.215
685.199,685.216
685.200,685.217
685.202,685.217
685.203,685.218
685.204,685.219
685.205,685.219
685.206,685.220
685.201,685.217
685.202,685.217
685.203,685.218
685.206,685.220
685.207,685.221
685.204,685.219
685.207,685.221
685.208,685.222
685.211,685.223
685.211,685.224
685.211,685.224
685.219,685.229
685.219,685.229
685.218,685.229
685.218,685.228
685.220,685.230
685.219,685.229
685.213,685.225
685.205,685.220
685.206,685.220
685.198,685.215
685.194,685.212
685.196,685.214
685.190,685.209
685.192,685.211
685.194,685.212
685.190,685.210
685.192,685.211
685.186,685.207
685.183,685.205
685.186,685.207
685.181,685.203
685.186,685.207
685.189,685.209
685.193,685.212
685.195,685.213
685.197,685.214
685.193,685.211
685.195,685.213
685.196,685.214
685.200,685.217
685.202,685.217
685.205,685.220
685.206,685.220
685.207,685.221
685.209,685.223
685.210,685.223
685.210,685.223
685.203,685.218
685.204,685.219
685.207,685.221
685.207,685.221
685.208,685.222
685.203,685.218
685.204,685.219
685.197,685.214
685.198,685.215
685.200,685.216
685.201,685.217
685.202,685.218
685.203,685.219
685.204,685.219
685.205,685.220
685.206,685.220
685.201,685.217
685.202,685.218
685.203,685.218
685.204,685.219
685.205,685.220
685.206,685.220
685.207,685.221
685.207,685.221
685.208,685.222
685.208,685.222
685.209,685.222
685.209,685.223
685.212,685.224
685.212,685.224
685.212,685.225
685.215,685.226
685.215,685.226
685.214,685.226
685.217,685.227
685.208,685.222
685.211,685.224
685.211,685.224
685.211,685.224
685.214,685.226
685.214,685.226
685.206,685.220
685.207,685.221
685.207,685.221
685.200,685.216
685.203,685.219
685.204,685.219
685.197,685.214
685.191,685.210
685.187,685.208
685.190,685.209
685.194,685.212
685.196,685.214
685.198,685.215
685.201,685.217
685.203,685.218
685.204,685.219
685.205,685.219
685.197,685.215
685.199,685.216
685.200,685.217
685.194,685.212
685.198,685.215
685.199,685.216
685.193,685.211
685.189,685.209
685.191,685.210
685.185,685.206
685.180,685.203
685.175,685.200
685.171,685.197
685.169,685.196
685.173,685.198
685.169,685.196
685.168,685.194
685.172,685.197
685.170,685.196
685.166,685.194
685.171,685.197
685.167,685.194
685.174,685.199
685.169,685.196
685.174,685.199
685.169,685.196
685.168,685.195
685.164,685.192
685.169,685.195
685.173,685.198
685.177,685.201
685.175,685.199
685.178,685.202
685.174,685.199
685.172,685.197
685.176,685.200
685.179,685.202
685.185,685.206
685.188,685.208
685.190,685.210
685.195,685.213
685.188,685.208
685.191,685.210
685.193,685.211
685.195,685.213
685.189,685.209
685.191,685.210
685.193,685.212
685.195,685.213
685.189,685.209
685.191,685.210
685.193,685.212
685.195,685.213
685.197,685.214
685.190,685.210
685.187,685.208
685.189,685.209
685.184,685.205
685.179,685.202
685.176,685.200
685.172,685.197
685.168,685.195
685.166,685.194
685.163,685.191
685.159,685.189
685.157,685.187
685.156,685.187
685.154,685.185
685.159,685.189
685.159,685.189
685.164,685.192
685.169,685.195
685.165,685.193
685.164,685.192
685.169,685.195
685.165,685.193
685.161,685.190
685.166,685.194
685.163,685.191
685.160,685.189
685.159,685.189
685.156,685.187
685.154,685.185
685.151,685.184
685.151,685.184
685.149,685.182
685.147,685.181
685.148,685.181
685.146,685.180
685.145,685.179
685.143,685.178
685.142,685.177
685.149,685.182
685.147,685.181
685.147,685.181
685.146,685.180
685.144,685.179
685.143,685.178
685.152,685.184
685.150,685.182
685.148,685.181
685.154,685.185
685.152,685.184
685.157,685.188
685.155,685.186
685.160,685.190
685.165,685.193
685.162,685.191
685.159,685.189
685.158,685.188
685.164,685.192
685.163,685.191
685.167,685.194
685.172,685.197
685.176,685.200
685.179,685.202
685.177,685.201
685.172,685.198
685.176,685.200
685.174,685.199
685.170,685.196
685.174,685.199
685.170,685.196
685.168,685.195
685.167,685.194
685.163,685.192
685.160,685.189
685.157,685.187
685.154,685.186
685.152,685.184
685.158,685.188
685.157,685.188
685.163,685.191
685.168,685.194
685.172,685.197
685.168,685.195
685.164,685.192
685.161,685.190
685.160,685.189
685.157,685.188
685.154,685.186
685.152,685.184
685.150,685.183
685.148,685.181
685.146,685.180
685.145,685.179
685.145,685.180
685.144,685.179
685.142,685.178
685.141,685.177
685.142,685.178
685.143,685.178
685.142,685.177
685.143,685.178
685.142,685.177
685.141,685.176
685.139,685.176
685.141,685.176
685.140,685.176
685.139,685.175
685.140,685.176
685.147,685.181
685.145,685.180
685.144,685.178
685.142,685.178
685.143,685.178
685.150,685.183
685.148,685.181
685.149,685.182
685.139,685.175
685.138,685.174
685.137,685.174
685.136,685.173
685.138,685.175
685.137,685.174
685.136,685.173
685.136,685.173
685.135,685.173
685.134,685.172
685.134,685.172
685.134,685.172
685.133,685.171
685.135,685.173
685.134,685.172
685.134,685.172
685.128,685.168
685.128,685.168
685.136,685.173
685.135,685.173
685.135,685.172
685.136,685.174
685.136,685.173
685.135,685.173
685.135,685.172
685.134,685.172
685.134,685.172
685.133,685.171
685.127,685.167
685.127,685.167
685.128,685.168
685.128,685.168
685.128,685.168
685.128,685.168
685.128,685.168
685.128,685.168
685.128,685.168
685.131,685.170
685.131,685.170
685.130,685.170
685.130,685.169
685.130,685.169
685.130,685.169
685.130,685.169
685.130,685.169
685.132,685.171
685.140,685.176
685.139,685.175
685.138,685.175
685.129,685.169
685.129,685.169
685.129,685.169
685.129,685.169
685.131,685.170
685.131,685.170
685.131,685.170
685.131,685.170
685.131,685.170
685.131,685.170
685.130,685.170
685.130,685.169
685.130,685.169
685.124,685.165
685.125,685.166
685.117,685.161
685.118,685.161
685.114,685.158
685.107,685.154
685.109,685.155
685.111,685.157
685.113,685.158
685.106,685.153
685.109,685.155
685.105,685.152
685.107,685.154
685.109,685.155
685.105,685.153
685.108,685.154
685.110,685.156
685.112,685.157
685.105,685.153
685.107,685.154
685.102,685.150
685.104,685.152
685.107,685.153
685.109,685.155
685.111,685.156
685.115,685.159
685.116,685.160
685.117,685.161
685.118,685.161
685.120,685.162
685.115,685.159
685.116,685.160
685.117,685.161
685.118,685.161
685.120,685.162
685.120,685.163
685.121,685.163
685.122,685.164
685.123,685.164
685.123,685.165
685.124,685.165
685.124,685.165
685.127,685.167
685.119,685.162
685.120,685.163
685.121,685.163
685.122,685.164
685.123,685.164
685.115,685.159
685.117,685.160
685.118,685.161
685.111,685.156
685.105,685.152
685.107,685.154
685.109,685.155
685.111,685.156
685.113,685.158
685.106,685.153
685.108,685.155
685.105,685.152
685.107,685.154
685.109,685.155
685.103,685.151
685.108,685.154
685.110,685.156
685.104,685.152
685.106,685.153
685.108,685.155
685.102,685.151
685.097,685.147
685.094,685.145
685.098,685.147
685.093,685.144
685.096,685.146
685.091,685.143
685.087,685.140
685.093,685.144
685.089,685.141
685.092,685.144
685.088,685.141
685.092,685.144
685.090,685.142
685.093,685.145
685.097,685.147
685.100,685.149
685.095,685.145
685.090,685.142
685.094,685.145
685.089,685.142
685.093,685.144
685.096,685.147
685.099,685.149
685.102,685.151
685.105,685.152
685.101,685.150
685.106,685.153
685.109,685.155
685.111,685.156
685.112,685.157
685.106,685.153
685.102,685.151
685.107,685.154
685.104,685.151
685.106,685.153
685.108,685.155
685.110,685.156
685.112,685.157
685.106,685.153
685.100,685.149
685.097,685.147
685.094,685.145
685.098,685.147
685.093,685.144
685.088,685.141
685.084,685.138
685.091,685.143
685.086,685.140
685.082,685.137
685.088,685.141
685.094,685.145
685.092,685.144
685.087,685.141
685.083,685.138
685.080,685.135
685.084,685.139
685.083,685.138
685.082,685.137
685.080,685.136
685.077,685.134
685.074,685.132
685.071,685.130
685.069,685.128
685.074,685.132
685.072,685.130
685.069,685.128
685.067,685.127
685.067,685.127
685.067,685.127
685.073,685.131
685.070,685.129
685.068,685.128
685.074,685.131
685.071,685.130
685.046,685.112
685.045,685.112
685.045,685.112
685.045,685.112
685.045,685.112
685.045,685.112
685.045,685.112
685.048,685.114
685.047,685.114
685.047,685.114
685.047,685.113
685.055,685.119
685.062,685.123
685.060,685.122
685.067,685.127
685.065,685.125
685.065,685.126
685.065,685.126
685.066,685.126
685.066,685.126
685.072,685.130
685.069,685.129
685.067,685.127
685.065,685.126
685.063,685.124
685.045,685.112
685.045,685.112
685.045,685.112
685.045,685.112
685.045,685.112
685.045,685.112
685.045,685.112
685.037,685.107
685.030,685.102
685.031,685.103
685.035,685.105
685.036,685.106
685.039,685.108
685.042,685.110
685.044,685.112
685.047,685.113
685.047,685.113
685.046,685.113
685.046,685.113
685.046,685.113
685.046,685.113
685.046,685.113
685.046,685.113
685.046,685.113
685.048,685.114
685.038,685.107
685.038,685.108
685.039,685.108
685.040,685.108
685.040,685.109
685.041,685.109
685.041,685.109
685.041,685.110
685.042,685.110
685.042,685.110
685.042,685.110
685.043,685.110
685.043,685.111
685.043,685.111
685.038,685.107
685.032,685.104
685.036,685.106
685.037,685.107
