采样值
462.2161
462.2136
462.2138
462.2138
462.2138
462.2161
462.2161
462.2228
462.2208
462.2182
462.2138
462.2159
462.2138
462.2115
462.2208
462.2205
462.2138
462.2092
462.2092
462.2092
462.2046
462.2161
462.2159
462.2068
462.2068
462.2046
462.2023
462.2
462.2
462.1953
462.2068
462.2046
462.1979
462.193
462.193
462.1953
462.1953
462.2046
462.2002
462.193
462.1907
462.1907
462.1907
462.1907
462.1907
462.1884
462.1884
462.1907
462.1841
462.1814
462.1791
462.1768
462.1768
462.1748
462.1701
462.1861
462.1837
462.1768
462.1655
462.1655
462.1652
462.1609
462.1675
462.1678
462.1609
462.154
462.1562
462.1562
462.1517
462.1586
462.1562
462.1562
462.1494
462.147
462.1447
462.147
462.1447
462.1423
462.1494
462.1494
462.1423
462.1377
462.14
462.1381
462.1331
462.1447
462.147
462.1447
462.1334
462.1311
462.1308
462.1308
462.1377
462.1377
462.1331
462.1308
462.1284
462.1262
462.1262
462.1238
462.1238
462.1284
462.1265
462.1288
462.1308
462.1265
462.1218
462.1242
462.1242
462.1215
462.1284
462.1284
462.1262
462.1169
462.1195
462.1195
462.1172
462.1238
462.1238
462.1215
462.1172
462.1149
462.1149
462.1169
462.1146
462.1242
462.1242
462.1242
462.1122
462.1122
462.1125
462.1102
462.1169
462.1192
462.1215
462.1172
462.1172
462.1125
462.1099
462.1192
462.1172
462.1149
462.1122
462.1099
462.1079
462.1076
462.1079
462.1079
462.1076
462.1056
462.1102
462.1122
462.1125
462.101
462.1033
462.1033
462.101
462.1079
462.1099
462.1079
462.101
462.101
462.0986
462.101
462.1033
462.1056
462.101
462.0986
462.0986
462.094
462.094
462.094
462.0917
462.0986
462.1033
462.0986
462.0917
462.0894
462.0894
462.0894
462.0917
462.0963
462.094
462.0847
462.0894
462.087
462.0875
462.0894
462.0917
462.087
462.0847
462.0825
462.0802
462.0779
462.0755
462.0779
462.0758
462.0734
462.0804
462.0825
462.0802
462.0709
462.0709
462.0686
462.0686
462.0732
462.0732
462.0709
462.0642
462.0642
462.0642
462.0596
462.064
462.0663
462.064
462.055
462.055
462.0524
462.0504
462.0504
462.0457
462.0504
462.0547
462.0504
462.0434
462.0434
462.0411
462.0388
462.0434
462.0457
462.0434
462.0341
462.0338
462.0319
462.0319
462.0365
462.0388
462.0361
462.0273
462.0249
462.0249
462.0202
462.0179
462.0182
462.0205
462.016
462.0182
462.0202
462.0225
462.011
462.011
462.011
462.0067
462.0341
462.2853
462.5205
462.9566
463.6549
464.4615
465.0399
465.4238
465.6311
465.7919
465.9365
466.1253
466.6438
467.0461
467.1935
467.1209
467.1022
467.135
467.1654
467.2146
467.2919
467.3246
467.3223
467.2848
467.2287
467.142
467.0437
466.9689
466.9455
466.9478
466.9455
466.8285
466.6367
466.4639
466.3354
466.2047
466.081
465.9574
465.8478
465.7429
465.6637
465.5962
465.5635
465.5425
465.5425
465.5635
465.5891
465.6124
465.6311
465.6427
465.6404
465.6264
465.6148
465.6007
465.5914
465.5822
465.5775
465.5659
465.5263
465.4587
465.3702
465.2655
465.1492
465.0236
464.8818
464.7308
464.5542
464.3664
464.1948
464.0393
463.9048
463.7937
463.7058
463.6247
463.5485
463.4906
463.4372
463.3912
463.3517
463.3195
463.3009
463.2709
463.2547
463.2361
463.2271
463.2132
463.2036
463.197
463.1943
463.1854
463.1552
463.1414
463.1231
463.1092
463.0999
463.0976
463.0927
463.0814
463.086
463.0951
463.1066
463.1159
463.1368
463.1485
463.1529
463.1644
463.1667
463.1737
463.176
463.176
463.1737
463.1737
463.1647
463.1671
463.1578
463.1368
463.1275
463.1136
463.1066
463.0951
463.0906
463.0836
463.0651
463.0605
463.0562
463.0538
463.0492
463.0538
463.0538
463.0445
463.0469
463.0489
463.0512
463.0512
463.0558
463.0535
463.0628
463.0628
463.0582
463.0582
463.0628
463.0651
463.0675
463.0768
463.0768
463.0698
463.0698
463.0721
463.0698
463.0721
463.0814
463.0768
463.0698
463.0698
463.0628
463.0628
463.0605
463.0558
463.0512
463.0489
463.0443
463.0489
463.0443
463.0259
463.0211
463.0167
463.0121
463.0053
463.005
463.0004
462.9865
462.9797
462.9751
462.9679
462.9636
462.9636
462.952
462.9427
462.9357
462.9265
462.9151
462.9105
462.9059
462.8966
462.9012
462.885
462.864
462.8504
462.8388
462.8295
462.825
462.8272
462.8272
462.8272
462.8252
462.8135
462.8066
462.7951
462.7951
462.7858
462.7698
462.7605
462.7489
462.7416
462.735
462.728
462.7211
462.7165
462.712
462.712
462.7072
462.6959
462.6866
462.6841
462.6773
462.6727
462.675
462.6703
462.6611
462.6542
462.6519
462.6472
462.6449
462.6495
462.6425
462.6313
462.6313
462.624
462.6196
462.6196
462.615
462.6127
462.6265
462.6193
462.608
462.5987
462.5964
462.5921
462.5874
462.5967
462.5898
462.5828
462.5758
462.571
462.5735
462.5712
462.5756
462.5712
462.562
462.5597
462.5527
462.5481
462.5457
462.5414
462.5411
462.5365
462.5341
462.5388
462.5365
462.5225
462.5182
462.5159
462.5109
462.5066
462.5136
462.5066
462.4973
462.4927
462.4903
462.4857
462.4788
462.4857
462.4811
462.4695
462.4672
462.4606
462.4536
462.451
462.4466
462.4395
462.4466
462.442
462.4327
462.4282
462.4235
462.4189
462.4119
462.4142
462.4096
462.4006
462.3913
462.3887
462.3844
462.3797
462.3867
462.382
462.3705
462.3684
462.3615
462.3568
462.3545
462.3499
462.345
462.3427
462.336
462.3476
462.3427
462.3336
462.3218
462.3198
462.3175
462.3105
462.3175
462.3152
462.3013
462.2944
462.2923
462.2923
462.2897
462.2944
462.2921
462.2877
462.2877
462.2831
462.2785
462.2761
462.2715
462.2645
462.2715
462.2692
462.2621
462.2552
462.2552
462.2532
462.2486
462.2506
462.2483
462.2413
462.2324
462.23
462.2274
462.2254
462.23
462.2274
462.2208
462.2184
462.2115
462.2115
462.2046
462.2023
462.2023
462.1977
462.1907
462.2
462.1977
462.1953
462.1907
462.1907
462.1907
462.1907
462.1907
462.1884
462.1814
462.1768
462.1771
462.1748
462.1701
462.1746
462.1721
462.1678
462.1655
462.1609
462.1562
462.154
462.154
462.1494
462.1562
462.1562
462.1494
462.1404
462.14
462.1353
462.1377
462.1423
462.1423
462.1358
462.1242
462.1242
462.1218
462.1215
462.1284
462.1262
462.1169
462.1125
462.1056
462.1053
462.1056
462.101
462.0986
462.0961
462.094
462.1006
462.101
462.0963
462.0917
462.0917
462.0917
462.087
462.094
462.0963
462.0894
462.0917
462.0917
462.094
462.0986
462.1033
462.1033
462.101
462.101
462.1033
462.1056
462.1099
462.1125
462.1218
462.1265
462.1288
462.1262
462.1331
462.1381
462.147
462.1562
462.1748
462.1721
462.1701
462.1725
462.1748
462.1791
462.1861
462.1907
462.1907
462.1907
462.1907
462.1907
462.1907
462.1907
462.1932
462.1932
462.1909
462.2
462.2068
462.2023
