# Physical_Baseline=690.25pF, Trigger_Distance=41.6cm, Atten_Ratio=17.31
Raw_Capacitance(pF),Normalized_Capacitance(pF)
690.311,691.251
690.314,691.292
690.316,691.330
690.318,691.364
690.315,691.310
690.317,691.346
690.311,691.239
690.316,691.337
690.318,691.371
690.320,691.402
690.322,691.429
690.315,691.314
690.317,691.350
690.319,691.382
690.324,691.466
690.325,691.487
690.318,691.367
690.312,691.258
690.314,691.299
690.311,691.252
690.306,691.154
690.304,691.120
690.307,691.174
690.302,691.083
690.300,691.056
690.303,691.117
690.307,691.170
690.313,691.275
690.307,691.175
690.305,691.139
690.308,691.191
690.310,691.238
690.308,691.197
690.311,691.243
690.277,690.660
690.275,690.619
690.276,690.636
690.273,690.597
690.275,690.616
690.272,690.579
690.270,690.545
690.264,690.430
690.263,690.410
690.262,690.392
690.261,690.376
690.260,690.361
690.259,690.349
690.258,690.337
690.261,690.381
690.260,690.367
690.259,690.353
690.259,690.340
690.261,690.385
690.260,690.369
690.259,690.355
690.262,690.397
690.261,690.380
690.260,690.366
690.271,690.547
690.269,690.517
690.275,690.628
690.276,690.644
690.282,690.744
690.282,690.749
690.279,690.699
690.277,690.654
690.274,690.613
690.267,690.491
690.266,690.466
690.265,690.443
690.258,690.337
690.258,690.327
690.257,690.317
690.257,690.309
690.259,690.355
690.259,690.342
690.258,690.331
690.257,690.320
690.257,690.311
690.256,690.302
690.256,690.295
690.247,690.148
690.243,690.071
690.236,689.945
690.112,687.803
690.109,687.755
690.107,687.710
690.104,687.670
690.102,687.634
690.100,687.601
690.099,687.572
690.097,687.545
690.096,687.521
690.094,687.499
690.093,687.479
690.092,687.461
690.091,687.444
690.090,687.429
690.082,687.276
690.082,687.277
690.082,687.278
690.085,687.334
690.085,687.330
690.076,687.186
690.077,687.196
690.077,687.204
690.073,687.127
690.074,687.143
690.067,687.017
690.025,686.301
690.023,686.256
690.028,686.354
690.025,686.303
690.031,686.397
690.036,686.482
690.040,686.559
690.047,686.684
690.051,686.742
690.054,686.793
690.048,686.701
690.044,686.618
690.039,686.542
690.035,686.473
690.040,686.550
690.036,686.481
690.032,686.418
690.037,686.501
690.041,686.576
690.045,686.643
690.049,686.705
690.052,686.761
690.055,686.811
690.057,686.857
690.060,686.898
690.054,686.795
690.052,686.757
690.046,686.669
690.050,686.728
690.045,686.641
690.040,686.563
690.044,686.632
690.040,686.555
690.036,686.485
690.032,686.422
690.032,686.419
690.029,686.362
690.026,686.311
690.034,686.459
690.039,686.538
690.043,686.610
690.039,686.535
690.043,686.606
690.047,686.671
690.042,686.591
690.046,686.657
690.049,686.717
690.052,686.771
690.047,686.681
690.051,686.740
690.045,686.652
690.044,686.628
690.048,686.691
690.051,686.748
690.054,686.800
690.057,686.846
690.059,686.888
690.061,686.926
690.063,686.961
690.065,686.992
690.067,687.020
690.060,686.906
690.062,686.942
690.064,686.975
690.066,687.005
690.067,687.032
690.061,686.917
690.058,686.867
690.052,686.768
690.055,686.818
690.058,686.862
690.063,686.957
690.065,686.989
690.067,687.017
690.068,687.043
690.069,687.066
690.071,687.087
690.064,686.967
690.065,686.997
690.067,687.025
690.068,687.050
690.070,687.072
690.071,687.093
690.072,687.112
690.073,687.129
690.077,687.199
690.081,687.262
690.076,687.180
690.077,687.191
690.077,687.200
690.078,687.208
690.073,687.131
690.069,687.062
690.070,687.083
690.072,687.103
690.073,687.121
690.077,687.192
690.077,687.201
690.078,687.210
690.078,687.217
690.078,687.223
690.079,687.230
690.079,687.235
690.079,687.240
690.080,687.244
690.080,687.249
690.080,687.253
690.080,687.256
690.081,687.259
690.081,687.262
690.073,687.125
690.074,687.141
690.075,687.155
690.075,687.167
690.076,687.179
690.077,687.189
690.077,687.199
690.078,687.207
690.078,687.215
690.078,687.222
690.082,687.283
690.082,687.283
690.082,687.283
690.082,687.283
690.082,687.283
690.077,687.199
690.078,687.207
690.086,687.354
690.086,687.348
690.085,687.343
690.088,687.392
690.091,687.438
690.090,687.424
690.089,687.411
690.089,687.400
690.088,687.389
690.088,687.380
690.087,687.371
690.090,687.418
690.089,687.405
690.088,687.394
690.080,687.244
690.080,687.249
690.080,687.253
690.080,687.256
690.081,687.259
690.081,687.262
690.081,687.264
690.081,687.267
690.089,687.408
690.089,687.396
690.088,687.386
690.087,687.376
690.087,687.368
690.094,687.500
690.093,687.480
690.100,687.601
690.107,687.711
690.104,687.671
690.110,687.775
690.116,687.868
690.121,687.952
690.125,688.028
690.124,688.012
690.123,687.999
690.123,687.986
690.122,687.974
690.121,687.964
690.121,687.954
690.117,687.891
690.122,687.973
690.126,688.047
690.122,687.975
690.118,687.910
690.123,687.990
690.119,687.924
690.124,688.003
690.128,688.075
690.131,688.139
690.127,688.058
690.131,688.124
690.126,688.045
690.125,688.028
690.124,688.012
690.131,688.138
690.130,688.112
690.128,688.088
690.127,688.067
690.123,687.993
690.127,688.065
690.123,687.991
690.119,687.925
690.116,687.864
690.112,687.809
690.109,687.760
690.107,687.715
690.105,687.675
690.111,687.778
690.116,687.871
690.121,687.955
690.125,688.031
690.132,688.155
690.139,688.267
690.145,688.368
690.147,688.405
690.149,688.438
690.150,688.468
690.152,688.495
690.153,688.519
690.155,688.541
690.148,688.422
690.153,688.509
690.149,688.447
690.151,688.477
690.152,688.503
690.154,688.528
690.155,688.549
690.156,688.568
690.157,688.586
690.161,688.657
690.165,688.721
690.165,688.724
690.165,688.727
690.174,688.870
690.173,688.859
690.176,688.905
690.183,689.031
690.189,689.144
690.187,689.107
690.185,689.073
690.187,689.097
690.193,689.204
690.190,689.160
690.196,689.262
690.202,689.354
690.198,689.297
690.198,689.300
690.195,689.248
690.201,689.341
690.206,689.424
690.205,689.416
690.202,689.353
690.198,689.296
690.203,689.384
690.200,689.324
690.205,689.410
690.209,689.487
690.213,689.557
690.209,689.480
690.213,689.551
690.220,689.671
690.223,689.723
690.226,689.771
690.228,689.814
690.226,689.769
690.228,689.812
690.230,689.851
690.232,689.886
690.234,689.918
690.244,690.086
690.245,690.098
690.253,690.249
690.253,690.247
690.256,690.300
690.256,690.293
690.255,690.286
690.258,690.335
690.258,690.324
690.257,690.315
690.257,690.306
690.259,690.354
690.259,690.341
690.253,690.245
690.261,690.383
690.268,690.507
690.270,690.536
690.276,690.646
690.282,690.745
690.282,690.750
690.279,690.700
690.280,690.710
690.277,690.663
690.283,690.761
690.280,690.710
690.277,690.663
690.275,690.621
690.281,690.723
690.278,690.675
690.275,690.632
690.276,690.648
690.282,690.747
690.287,690.837
690.292,690.918
690.296,690.991
690.303,691.112
690.306,691.167
690.309,691.217
690.312,691.261
690.314,691.301
690.316,691.338
690.321,691.427
690.323,691.451
690.327,691.530
690.328,691.544
690.329,691.558
690.330,691.571
690.338,691.722
690.346,691.858
690.345,691.842
690.353,691.967
690.359,692.080
690.365,692.182
690.370,692.275
690.367,692.219
690.364,692.169
690.362,692.123
690.367,692.221
690.372,692.310
690.377,692.390
690.381,692.463
690.388,692.585
690.391,692.639
690.394,692.688
690.400,692.789
690.402,692.824
690.399,692.771
690.401,692.808
690.395,692.701
690.389,692.605
690.393,692.658
690.398,692.761
690.401,692.799
690.403,692.833
690.404,692.864
690.406,692.891
690.407,692.916
690.409,692.940
690.402,692.820
690.404,692.852
690.401,692.797
690.403,692.831
690.404,692.862
690.398,692.750
690.400,692.789
690.394,692.684
690.397,692.730
690.394,692.686
690.397,692.731
690.402,692.827
690.404,692.858
690.401,692.802
690.395,692.697
690.397,692.740
690.400,692.779
690.402,692.815
690.407,692.903
690.408,692.927
690.404,692.865
690.406,692.892
690.411,692.972
690.412,692.990
690.405,692.867
690.398,692.755
690.392,692.653
690.395,692.701
690.398,692.744
690.400,692.783
690.397,692.735
690.399,692.775
690.397,692.727
690.399,692.769
690.401,692.806
690.398,692.755
690.392,692.653
690.390,692.618
690.385,692.529
690.389,692.589
690.384,692.503
690.379,692.426
690.383,692.496
690.379,692.419
690.383,692.489
690.390,692.608
690.385,692.520
690.391,692.637
690.394,692.686
690.400,692.787
690.402,692.821
690.404,692.853
690.401,692.798
690.403,692.832
690.404,692.863
690.409,692.946
690.402,692.827
690.399,692.774
690.401,692.810
690.403,692.843
690.405,692.872
690.406,692.900
690.403,692.839
690.405,692.870
690.401,692.813
690.403,692.846
690.400,692.791
690.402,692.826
690.396,692.718
690.398,692.759
690.393,692.658
690.390,692.621
690.393,692.671
690.391,692.633
690.394,692.683
690.397,692.728
690.394,692.685
690.397,692.730
690.402,692.826
690.404,692.857
690.406,692.886
690.407,692.911
690.400,692.795
690.402,692.830
690.404,692.860
690.401,692.804
690.403,692.838
690.400,692.784
690.381,692.463
690.385,692.529
690.380,692.449
690.384,692.516
690.380,692.437
690.376,692.366
690.375,692.357
690.380,692.433
690.371,692.277
690.367,692.221
690.368,692.226
690.373,692.314
690.369,692.255
690.366,692.201
690.367,692.208
690.364,692.158
690.361,692.114
690.359,692.074
690.357,692.037
690.350,691.919
690.349,691.897
690.347,691.877
690.346,691.859
690.341,691.759
690.340,691.752
690.319,691.385
690.313,691.274
690.310,691.229
690.312,691.272
690.307,691.173
690.301,691.082
690.305,691.140
690.303,691.108
690.306,691.163
690.309,691.213
690.312,691.258
690.314,691.299
690.319,691.392
690.321,691.421
690.323,691.446
690.324,691.469
690.328,691.545
690.329,691.559
690.333,691.627
690.333,691.633
690.342,691.778
690.341,691.769
690.344,691.817
690.343,691.804
690.346,691.849
690.361,692.113
690.362,692.127
690.359,692.085
690.365,692.187
690.363,692.139
690.360,692.096
690.358,692.057
690.359,692.077
690.357,692.040
690.355,692.006
690.353,691.975
690.352,691.948
690.353,691.979
690.360,692.090
690.361,692.107
690.358,692.067
690.356,692.031
690.354,691.999
690.353,691.969
690.351,691.943
690.353,691.974
690.351,691.947
690.350,691.923
690.357,692.040
690.355,692.006
690.344,691.811
690.343,691.799
690.350,691.928
690.357,692.045
690.355,692.011
690.353,691.981
690.360,692.093
690.358,692.055
690.359,692.076
690.365,692.178
690.362,692.132
690.360,692.089
690.366,692.191
690.363,692.143
690.364,692.156
690.361,692.112
690.362,692.126
690.367,692.225
690.365,692.174
690.362,692.127
690.363,692.141
690.360,692.098
690.361,692.115
690.359,692.075
690.360,692.094
690.349,691.908
690.348,691.887
690.347,691.868
690.354,691.990
690.352,691.962
690.351,691.935
690.349,691.912
690.343,691.806
690.343,691.795
690.345,691.840
690.344,691.825
690.352,691.952
690.350,691.927
690.344,691.820
690.343,691.807
690.346,691.852
690.353,691.975
690.360,692.087
690.357,692.049
690.359,692.070
690.365,692.174
690.365,692.183
690.362,692.136
690.363,692.149
690.361,692.105
690.360,692.094
690.358,692.055
690.359,692.076
690.357,692.039
690.355,692.005
690.353,691.974
690.351,691.947
690.350,691.923
690.352,691.955
690.350,691.930
690.349,691.907
690.356,692.026
690.354,691.994
690.352,691.965
690.351,691.938
690.358,692.055
690.356,692.020
690.354,691.988
690.352,691.959
690.354,691.989
690.352,691.961
690.351,691.934
690.357,692.050
690.355,692.015
690.354,691.985
690.355,692.012
690.362,692.121
690.359,692.080
690.365,692.182
690.366,692.191
690.371,692.283
690.376,692.366
690.372,692.302
690.369,692.244
690.366,692.191
690.366,692.198
690.371,692.289
690.379,692.427
690.378,692.413
690.382,692.483
690.386,692.548
690.390,692.606
690.393,692.659
690.387,692.567
690.391,692.623
690.385,692.534
690.384,692.509
690.387,692.570
690.383,692.487
690.378,692.411
690.374,692.342
690.371,692.280
690.367,692.224
690.365,692.173
690.365,692.182
690.370,692.275
690.370,692.275
690.375,692.359
690.375,692.350
690.379,692.427
690.378,692.413
690.374,692.344
690.371,692.282
690.368,692.226
690.368,692.230
690.373,692.318
690.373,692.313
690.377,692.394
690.373,692.326
690.370,692.266
690.370,692.266
690.367,692.211
690.364,692.161
690.361,692.116
