# Physical_Baseline=690.84pF, Trigger_Distance=8.6cm, Atten_Ratio=0.74
Raw_Capacitance(pF),Normalized_Capacitance(pF)
690.937,690.912
690.929,690.906
690.924,690.903
690.924,690.903
690.928,690.906
690.920,690.900
690.917,690.897
690.918,690.898
690.914,690.895
690.916,690.896
690.912,690.894
690.914,690.895
690.911,690.893
690.904,690.888
690.902,690.886
690.905,690.888
690.902,690.887
690.905,690.888
690.903,690.887
690.905,690.889
690.899,690.884
690.898,690.883
690.901,690.885
690.899,690.884
690.893,690.880
690.884,690.873
690.880,690.870
690.880,690.870
690.877,690.868
690.874,690.866
690.874,690.866
690.872,690.864
690.872,690.864
690.870,690.862
690.863,690.857
690.861,690.856
690.855,690.851
690.854,690.851
690.853,690.850
690.855,690.852
690.846,690.845
690.850,690.848
690.849,690.847
690.849,690.847
690.844,690.843
690.844,690.843
690.844,690.843
690.847,690.846
690.847,690.846
690.842,690.842
690.846,690.845
690.838,690.839
690.830,690.833
690.827,690.831
690.829,690.832
690.822,690.827
690.819,690.825
690.822,690.827
690.816,690.823
690.814,690.821
690.812,690.820
690.815,690.822
690.813,690.821
690.816,690.823
690.811,690.819
690.818,690.824
690.812,690.820
690.815,690.822
690.813,690.821
690.812,690.819
690.815,690.822
690.810,690.818
690.808,690.817
690.812,690.819
690.815,690.822
690.805,690.814
690.804,690.814
690.800,690.811
690.796,690.808
690.796,690.808
690.796,690.808
690.792,690.805
690.793,690.805
690.793,690.806
690.790,690.803
690.787,690.801
690.780,690.796
690.781,690.797
690.779,690.795
690.777,690.794
690.768,690.787
690.762,690.783
690.762,690.783
690.762,690.783
690.762,690.783
690.765,690.785
690.760,690.781
690.760,690.781
690.752,690.775
690.748,690.772
690.744,690.770
690.741,690.767
690.743,690.768
690.744,690.770
690.746,690.771
690.742,690.768
690.739,690.766
690.733,690.761
690.736,690.763
690.730,690.759
690.728,690.758
690.726,690.756
690.725,690.755
690.728,690.758
690.731,690.760
690.726,690.756
690.721,690.753
690.720,690.752
690.719,690.751
690.715,690.748
690.719,690.751
690.715,690.748
690.711,690.745
690.708,690.743
690.700,690.737
690.706,690.741
690.703,690.739
690.700,690.737
690.698,690.735
690.696,690.734
690.694,690.732
690.692,690.731
690.694,690.732
690.695,690.733
690.693,690.732
690.692,690.731
690.690,690.730
690.689,690.729
690.687,690.728
690.686,690.727
690.685,690.726
690.688,690.728
690.690,690.729
690.692,690.731
690.685,690.726
690.680,690.722
690.674,690.718
690.678,690.720
690.681,690.723
690.680,690.722
690.680,690.722
690.679,690.722
690.679,690.721
690.679,690.721
690.670,690.715
690.663,690.709
